,Date,Open,High,Low,Close,Volume
0,2021-01,3.669,11.0,3.156,9.9,141306.677
1,2021-02,12.553,19.8,9.745,15.6,152909.27099999998
2,2021-03,16.315,23.427,14.084,14.49,90912.172
3,2021-04,14.968,18.264,10.25,14.1,119569.067
4,2021-05,14.769,22.58,6.333,10.194,130665.892
5,2021-06,11.782,13.98,6.0,7.891,74465.154
6,2021-07,7.544,9.721,6.046,8.444,51644.387
7,2021-08,9.024,14.7,7.879,11.986,63249.764
8,2021-09,12.661,16.134,8.564,9.904,115597.01899999999
9,2021-10,10.817,12.2,9.665,11.129,63110.674000000006
