,Date,Open,High,Low,Close,Volume
0,2020-08-07,1.892,1.941,1.795,1.869,45803.89
1,2020-08-08,1.85,2.155,1.821,2.062,45822.94
2,2020-08-09,2.43,2.536,2.063,2.43,103660.06000000001
3,2020-08-10,2.569,2.69,2.32,2.542,766246.7699999999
4,2020-08-11,3.152,3.154,2.42,2.98,892418.88
5,2020-08-12,3.67,3.871,2.86,3.231,77601.68999999999
6,2020-08-13,4.408,4.98,3.7,4.384,111040.98999999999
7,2020-08-14,3.934,4.471,3.58,3.992,60138.44
8,2020-08-15,3.903,3.931,3.35,3.541,68731.32
9,2020-08-16,3.36,3.714,3.226,3.294,91689.02
10,2020-08-17,3.363,3.494,3.041,3.396,84245.39000000001
11,2020-08-18,3.801,4.05,3.048,4.009,125666.81
12,2020-08-19,3.253,3.778,2.99,3.11,59586.29
13,2020-08-20,3.3,3.548,3.099,3.133,38891.72
14,2020-08-21,2.859,3.26,2.547,2.722,94825.68999999997
15,2020-08-22,2.677,2.855,2.33,2.733,71451.70999999999
16,2020-08-23,2.845,2.947,2.516,2.609,52764.49
17,2020-08-24,2.893,3.11,2.72,3.045,57934.23
18,2020-08-25,2.871,2.95,2.458,2.887,38270.189999999995
19,2020-08-26,2.661,2.949,2.557,2.718,31232.100000000002
20,2020-08-27,2.83,3.079,2.57,2.731,45195.66000000001
21,2020-08-28,2.949,3.003,2.746,2.905,33655.47
22,2020-08-29,2.943,3.246,2.872,2.925,44140.7
23,2020-08-30,3.051,3.193,2.941,3.106,21505.390000000007
24,2020-08-31,2.917,3.088,2.84,2.927,49690.33
25,2020-09-01,2.87,2.98,2.571,2.72,58421.44999999999
26,2020-09-02,2.29,2.728,2.164,2.426,55549.93000000001
27,2020-09-03,2.194,2.419,2.0,2.191,60336.03999999999
28,2020-09-04,1.88,2.171,1.78,1.999,77823.53000000001
29,2020-09-05,1.57,2.101,1.546,1.756,49628.29000000001
30,2020-09-06,1.715,1.939,1.529,1.799,43532.06
31,2020-09-07,1.633,1.856,1.56,1.856,116591.87999999999
32,2020-09-08,1.656,1.8,1.62,1.725,16249.19
33,2020-09-09,1.734,1.85,1.63,1.727,26968.48
34,2020-09-10,1.884,1.942,1.777,1.89,25294.119999999995
35,2020-09-11,1.756,1.81,1.68,1.731,26109.49
36,2020-09-12,1.776,1.879,1.727,1.77,18686.910000000003
37,2020-09-13,1.754,1.92,1.685,1.7,39473.7
38,2020-09-14,1.749,1.952,1.625,1.698,49019.219999999994
39,2020-09-15,1.75,1.892,1.658,1.708,40274.61
40,2020-09-16,1.554,1.708,1.46,1.559,32428.889999999996
41,2020-09-17,1.509,1.6,1.423,1.451,18743.95
42,2020-09-18,1.646,1.686,1.46,1.5,37457.35999999999
43,2020-09-19,1.652,1.653,1.494,1.53,16077.69
44,2020-09-20,1.51,1.64,1.494,1.557,13558.399999999998
45,2020-09-21,1.331,1.551,1.228,1.523,22053.7
46,2020-09-22,1.285,1.321,1.2,1.273,13684.88
47,2020-09-23,1.227,1.295,1.045,1.19,19697.58
48,2020-09-24,1.081,1.24,1.067,1.179,16408.92
49,2020-09-25,1.23,1.32,1.125,1.285,23670.959999999995
50,2020-09-26,1.329,1.388,1.262,1.319,19890.73
51,2020-09-27,1.329,1.788,1.283,1.68,92638.41
52,2020-09-28,1.671,1.852,1.54,1.651,74653.38
53,2020-09-29,1.578,1.677,1.524,1.61,19522.28
54,2020-09-30,1.598,1.753,1.572,1.711,27419.24
55,2020-10-01,1.553,1.772,1.481,1.681,49098.369999999995
56,2020-10-02,1.562,1.562,1.362,1.405,36695.880000000005
57,2020-10-03,1.433,1.461,1.39,1.433,15055.220000000001
58,2020-10-04,1.361,1.4,1.301,1.355,22264.27
59,2020-10-05,1.344,1.446,1.314,1.395,19198.7
60,2020-10-06,1.29,1.365,1.126,1.223,35357.47
61,2020-10-07,1.17,1.194,1.06,1.117,28549.01
62,2020-10-08,1.325,1.325,1.124,1.218,22903.099999999995
63,2020-10-09,1.33,1.389,1.274,1.356,24898.719999999998
64,2020-10-10,1.375,1.408,1.29,1.356,19032.5
