,Date,Open,High,Low,Close,Volume
0,2021-10-27,0.338,0.3897,0.3105,0.3656,22607.0
1,2021-10-28,0.3128,0.38,0.3,0.3655,14808.0
2,2021-10-29,0.3178,0.359,0.3118,0.3257,12096.0
3,2021-10-30,0.3455,0.3806,0.3138,0.3415,67245.0
4,2021-10-31,0.315,0.3599,0.315,0.3174,16942.0
5,2021-11-01,0.3233,0.3259,0.3138,0.315,45106.0
6,2021-11-02,0.3233,0.341,0.3211,0.3302,8110.0
7,2021-11-03,0.315,0.3302,0.3136,0.3217,1461.0
8,2021-11-04,0.3219,0.3999,0.3205,0.3486,53767.0
9,2021-11-05,0.3663,0.5555,0.329,0.4495,351639.0
10,2021-11-06,0.4105,0.455,0.37,0.3966,98249.0
11,2021-11-07,0.3767,0.3895,0.365,0.3726,35844.0
12,2021-11-08,0.3876,0.3955,0.3302,0.379,13953.0
13,2021-11-09,0.3914,0.4465,0.3842,0.3993,35754.0
14,2021-11-10,0.3983,0.4163,0.3879,0.3987,9520.0
15,2021-11-11,0.3786,0.4088,0.3676,0.3835,8704.0
