,Date,Open,High,Low,Close,Volume
0,2019-03-21,0.02211,0.02699,0.02,0.023,80895.0
1,2019-03-22,0.02343,0.02344,0.02162,0.02278,27719.0
2,2019-03-23,0.02187,0.02343,0.0218,0.02186,17746.0
3,2019-03-24,0.02174,0.02188,0.02174,0.02174,13267.0
4,2019-03-25,0.02174,0.02247,0.02001,0.02247,8373.0
5,2019-03-26,0.02247,0.02247,0.01801,0.02,22367.0
6,2019-03-27,0.0207,0.0207,0.017,0.018,18169.0
7,2019-03-28,0.0178,0.01984,0.0178,0.01984,3162.0
8,2019-03-29,0.01971,0.01971,0.01701,0.01701,12104.0
9,2019-03-30,0.0173,0.0194,0.0173,0.01911,6632.0
10,2019-03-31,0.01877,0.01877,0.0187,0.01877,1298.0
11,2019-04-01,0.01833,0.0187,0.01695,0.01857,10112.0
12,2019-04-02,0.01798,0.01833,0.012,0.0179,14000.0
13,2019-04-03,0.016,0.01799,0.014,0.016,37977.0
14,2019-04-04,0.01621,0.01678,0.015,0.015,3652.0
15,2019-04-05,0.016,0.0178,0.01491,0.016,27273.0
16,2019-04-06,0.01779,0.0178,0.015,0.01565,19925.0
17,2019-04-07,0.01779,0.01779,0.0175,0.01767,22508.0
18,2019-04-08,0.0176,0.018,0.0176,0.018,9112.0
19,2019-04-09,0.0171,0.0176,0.01582,0.01582,2891.0
20,2019-04-10,0.01601,0.01719,0.01582,0.01601,4463.0
21,2019-04-11,0.01581,0.01716,0.0158,0.0158,8504.0
22,2019-04-12,0.0158,0.01689,0.0158,0.01689,124.0
23,2019-04-13,0.01688,0.01689,0.01683,0.01688,1831.0
24,2019-04-14,0.01679,0.01683,0.01679,0.01679,2991.0
25,2019-04-15,0.01677,0.01679,0.014,0.01666,10730.0
26,2019-04-16,0.01666,0.01666,0.01666,0.01666,0.0
27,2019-04-17,0.01666,0.01666,0.01666,0.01666,0.0
28,2019-04-18,0.01569,0.01666,0.014,0.01569,9160.0
29,2019-04-19,0.0165,0.0165,0.01644,0.01649,2788.0
30,2019-04-20,0.0165,0.0165,0.0165,0.0165,0.0
31,2019-04-21,0.0165,0.0165,0.01452,0.0165,100.0
32,2019-04-22,0.01648,0.01648,0.01452,0.01648,1334.0
33,2019-04-23,0.01475,0.01642,0.01475,0.01475,1440.0
34,2019-04-24,0.01623,0.0163,0.014,0.0163,4485.0
35,2019-04-25,0.01623,0.01623,0.01623,0.01623,0.0
36,2019-04-26,0.016,0.01623,0.014,0.016,655.0
37,2019-04-27,0.016,0.016,0.0159,0.0159,609.0
38,2019-04-28,0.0159,0.0159,0.01405,0.01405,1217.0
39,2019-04-29,0.01405,0.0141,0.01405,0.01405,708.0
40,2019-04-30,0.01405,0.01405,0.01405,0.01405,0.0
41,2019-05-01,0.01405,0.01405,0.01405,0.01405,0.0
42,2019-05-02,0.01405,0.01408,0.009,0.0135,7751.0
43,2019-05-03,0.0135,0.0135,0.0135,0.0135,0.0
44,2019-05-04,0.014,0.014,0.012,0.014,416.0
45,2019-05-05,0.014,0.014,0.014,0.014,116.0
46,2019-05-06,0.014,0.014,0.014,0.014,0.0
47,2019-05-07,0.014,0.014,0.014,0.014,3109.0
48,2019-05-08,0.01575,0.01575,0.012,0.01575,907.0
