,Date,Open,High,Low,Close,Volume
0,2019-04,0.01833,0.0187,0.012,0.01405,198589.0
1,2019-05,0.01405,0.055,0.009,0.0147,13019677.0
2,2019-06,0.01431,0.01551,0.00861,0.00969,15466058.0
3,2019-07,0.00919,0.01133,0.00604,0.00736,7244393.0
4,2019-08,0.00761,0.00841,0.0046,0.00485,1956317.0
5,2019-09,0.00485,0.00485,0.00312,0.00321,2236743.0
6,2019-10,0.00324,0.00513,0.00303,0.00339,3837998.0
7,2019-11,0.00342,0.00386,0.00244,0.00282,1573893.0
8,2019-12,0.00271,0.00347,0.00231,0.00244,2575711.0
9,2020-01,0.00242,0.00273,0.00233,0.0025,1485587.0
10,2020-02,0.00249,0.00434,0.00244,0.00278,6714516.0
11,2020-03,0.00277,0.00311,0.00088,0.00167,6463965.0
12,2020-04,0.00172,0.00202,0.00159,0.00189,14566124.0
13,2020-05,0.00199,0.03,0.00179,0.00913,420721723.0
14,2020-06,0.00936,0.0128,0.00618,0.0083,282044032.0
15,2020-07,0.00813,0.01001,0.00744,0.00824,95066017.0
16,2020-08,0.00866,0.01527,0.00815,0.01109,114423120.0
17,2020-09,0.01071,0.01179,0.00784,0.01123,44628937.0
18,2020-10,0.00984,0.01081,0.0089,0.00935,8064130.0
19,2020-11,0.00942,0.01279,0.00828,0.00977,13004495.353
20,2020-12,0.0095,0.04018,0.0095,0.033,42038390.0
21,2021-01,0.036,0.03998,0.01975,0.02852,19975766.0
22,2021-02,0.02731,0.11998,0.02711,0.09897,13295742.0
23,2021-03,0.09876,0.57879,0.09515,0.43656,20258018.0
24,2021-04,0.40933,0.47402,0.043,0.3324,9118747.0
25,2021-05,0.36381,0.422,0.18999,0.3176,9059220.0
26,2021-06,0.35153,0.697,0.33497,0.39403,12949703.0
27,2021-07,0.38241,0.40979,0.22052,0.32727,4380149.0
28,2021-08,0.32186,0.377,0.282,0.3269,5203096.0
29,2021-09,0.334,0.4652,0.24506,0.25351,2581706.0
30,2021-10,0.26809,0.39999,0.2578,0.35,1830815.0
