,Date,Open,High,Low,Close,Volume
0,2019-01,0.0508,0.0665,0.0441,0.0519,218962.0
1,2019-02,0.0572,0.1501,0.052,0.1455,554486.0
2,2019-03,0.1508,0.2011,0.1027,0.1097,699262.0
3,2019-04,0.109,0.135,0.0922,0.0922,216601.0
4,2019-05,0.0936,0.1635,0.0787,0.1256,503203.0
5,2019-06,0.1321,0.1479,0.11383,0.11873,254880.0
6,2019-07,0.12183,0.12927,0.09969,0.12509,91613.0
7,2019-08,0.1365,0.14003,0.10601,0.10951,31066.0
8,2019-09,0.1116,0.11351,0.0769,0.08097,60799.0
9,2019-10,0.08026,0.10541,0.08026,0.09261,106221.0
10,2019-11,0.0919,0.09569,0.066,0.07661,96831.0
11,2019-12,0.07241,0.11,0.07241,0.08866,98352.0
12,2020-01,0.08866,0.11945,0.08267,0.10646,78053.0
13,2020-02,0.10624,0.18122,0.10466,0.11984,226261.0
14,2020-03,0.11539,0.14437,0.04158,0.07323,350736.0
15,2020-04,0.06992,0.12435,0.06992,0.11999,278895.0
16,2020-05,0.12399,0.58767,0.12,0.2733,2408188.0
17,2020-06,0.25542,0.30249,0.201,0.22232,1623191.0
18,2020-07,0.22168,0.28278,0.21401,0.26937,646785.0
19,2020-08,0.29824,0.5849,0.26808,0.50341,636185.0
20,2020-09,0.49216,0.79501,0.37389,0.75551,443844.0
21,2020-10,0.74681,0.79553,0.5817,0.6087,156850.0
22,2020-11,0.60458,0.745,0.5556,0.61853,233852.277
23,2020-12,0.59527,1.88195,0.59277,1.71704,377754.0
24,2021-01,1.96179,2.5,1.45802,2.00329,520703.0
25,2021-02,1.92086,3.9,1.86208,3.2004,296563.0
26,2021-03,3.21237,14.95,3.11703,12.24252,563849.0
27,2021-04,12.129,15.78344,4.5,11.25,313762.80000000005
28,2021-05,11.554,13.3,4.60901,6.87,417667.60000000003
29,2021-06,7.583,10.39,5.0,7.255,289138.6
30,2021-07,6.37299,6.93,3.55,6.064,195243.5
31,2021-08,6.096,8.29567,5.53001,6.505,172874.0
32,2021-09,6.676,9.73,4.665,4.902,241027.30000000005
33,2021-10,5.741,8.59283,5.0,7.05,239753.60000000003
