,Date,Open,High,Low,Close,Volume
0,2021-06-04,2.588,2.682,2.1501,2.2738,55123.40999999999
1,2021-06-05,2.3826,2.7553,2.3,2.3618,59959.55
2,2021-06-06,2.4849,2.51,2.3165,2.4819,23416.189999999995
3,2021-06-07,2.3872,2.53,2.1,2.3872,31539.379999999997
4,2021-06-08,2.1492,2.25,1.7,2.0153,60176.03999999999
5,2021-06-09,2.1721,2.2774,1.8717,1.9941,40725.999999999985
6,2021-06-10,2.2144,2.2774,1.9551,2.1826,10174.019999999999
7,2021-06-11,1.9853,2.1973,1.917,2.0761,14512.59
8,2021-06-12,1.848,1.9531,1.8,1.9079,2352.73
9,2021-06-13,1.938,2.0539,1.8322,2.0227,4126.15
10,2021-06-14,1.9913,2.078,1.9543,1.9543,6711.58
11,2021-06-15,2.016,2.0738,1.946,2.016,6110.319999999999
12,2021-06-16,1.9539,1.9613,1.8218,1.9522,10090.52
13,2021-06-17,1.8011,1.905,1.801,1.8011,2848.0100000000007
14,2021-06-18,1.802,1.8259,1.6691,1.7879,1292.25
15,2021-06-19,1.6439,1.7444,1.6439,1.6849,3784.82
16,2021-06-20,1.6917,1.7306,1.5956,1.6,3760.7899999999995
17,2021-06-21,1.6837,1.6947,1.3,1.4352,2388.2000000000003
18,2021-06-22,1.5401,1.7,1.1,1.3383,107518.29
19,2021-06-23,1.3383,1.5501,1.3,1.4128,11682.550000000001
20,2021-06-24,1.4625,1.491,1.3585,1.4879,1665.6899999999998
21,2021-06-25,1.3469,1.4993,1.3339,1.4654,1195.51
22,2021-06-26,1.3806,1.3806,1.2832,1.3715,1214.35
23,2021-06-27,1.29,1.3749,1.29,1.3605,5084.88
24,2021-06-28,1.4055,1.426,1.3527,1.3749,872.01
25,2021-06-29,1.4067,1.5091,1.4046,1.4366,16493.64
26,2021-06-30,1.4329,1.4462,1.2966,1.3627,6993.579999999999
27,2021-07-01,1.3237,1.3801,1.3081,1.3238,1433.7199999999998
28,2021-07-02,1.2979,1.3292,1.2757,1.3238,1782.92
29,2021-07-03,1.3788,1.3788,1.302,1.3042,1296.0800000000002
30,2021-07-04,1.3871,1.4645,1.3601,1.4399,3262.53
31,2021-07-05,1.331,1.4399,1.331,1.3615,1408.3899999999999
32,2021-07-06,1.3615,1.4277,1.3615,1.4277,8577.36
33,2021-07-07,1.4326,1.5893,1.4057,1.4629,5181.93
34,2021-07-08,1.5073,1.5073,1.3465,1.3846,2706.9700000000003
35,2021-07-09,1.3477,1.378,1.323,1.3513,1352.44
36,2021-07-10,1.3647,1.4306,1.3509,1.367,147.92000000000002
37,2021-07-11,1.3693,1.4036,1.343,1.4007,60.65
38,2021-07-12,1.3557,1.4582,1.352,1.3774,881.43
39,2021-07-13,1.3634,1.3669,1.3229,1.3327,1475.88
40,2021-07-14,1.3184,1.7315,1.3,1.3147,21401.140000000003
41,2021-07-15,1.6948,1.8613,1.4633,1.6278,32447.230000000007
42,2021-07-16,1.444,1.8638,1.444,1.5816,24295.269999999997
43,2021-07-17,1.6935,1.727,1.452,1.572,9390.679999999998
44,2021-07-18,1.529,1.6444,1.4798,1.4985,6411.58
45,2021-07-19,1.4033,1.527,1.3,1.3376,22817.77
46,2021-07-20,1.295,1.44,1.215,1.2652,10398.789999999999
47,2021-07-21,1.3601,1.41,1.2652,1.3518,18237.190000000002
48,2021-07-22,1.3675,1.4185,1.3418,1.375,10897.310000000001
49,2021-07-23,1.4033,1.5873,1.384,1.5124,22964.289999999997
50,2021-07-24,1.6079,1.7389,1.5311,1.6913,55860.36
51,2021-07-25,1.5374,1.6992,1.5,1.5273,33603.61999999999
52,2021-07-26,1.6316,1.7245,1.5409,1.6998,33738.420000000006
53,2021-07-27,1.6374,1.6374,1.5015,1.542,14006.730000000001
54,2021-07-28,1.552,1.5706,1.52,1.52,7848.68
55,2021-07-29,1.53,1.5478,1.5066,1.5342,1805.5399999999997
56,2021-07-30,1.5767,1.5967,1.4878,1.5324,6695.37
57,2021-07-31,1.5388,1.5801,1.5388,1.566,5560.6900000000005
58,2021-08-01,1.5753,1.6632,1.56,1.5882,10388.92
59,2021-08-02,1.5925,1.597,1.5405,1.5648,6915.36
60,2021-08-03,1.5722,1.5722,1.5036,1.5722,1536.23
61,2021-08-04,1.5667,1.5774,1.5,1.5405,3746.7900000000004
62,2021-08-05,1.553,1.65,1.52,1.6212,7497.9299999999985
63,2021-08-06,1.8534,1.944,1.56,1.799,23236.269999999997
64,2021-08-07,1.8254,1.98,1.7428,1.94,74835.90000000002
65,2021-08-08,1.7601,1.98,1.758,1.8,18389.969999999998
66,2021-08-09,1.8,1.8997,1.7772,1.813,6682.170000000001
67,2021-08-10,1.8457,1.8728,1.8059,1.8525,12533.89
68,2021-08-11,1.9389,2.0634,1.8061,1.9389,16287.58
69,2021-08-12,1.9419,2.0,1.725,1.872,3960.2000000000003
70,2021-08-13,1.9122,2.243,1.7586,1.9339,7972.980000000001
71,2021-08-14,1.9456,2.23,1.875,1.9354,11675.460000000001
72,2021-08-15,1.9787,2.0808,1.9,2.05,11771.990000000002
73,2021-08-16,2.1545,2.2996,1.9122,2.1227,25419.769999999997
74,2021-08-17,2.2245,2.4999,2.1094,2.4378,21400.850000000002
75,2021-08-18,2.0849,2.35,2.0718,2.2242,4837.8099999999995
76,2021-08-19,2.0884,2.2081,2.048,2.1263,8234.83
77,2021-08-20,2.274,2.3531,2.1862,2.255,7280.959999999999
78,2021-08-21,2.2918,2.32,2.2179,2.2293,3319.6400000000003
79,2021-08-22,2.2581,2.4014,2.1731,2.2591,3234.4700000000007
80,2021-08-23,2.32,2.37,2.2364,2.328,10266.089999999998
81,2021-08-24,2.1778,2.3506,2.13,2.2337,3748.65
82,2021-08-25,2.7238,3.3283,2.0562,2.76,46426.59999999999
83,2021-08-26,2.899,3.22,2.5523,2.966,54394.39
84,2021-08-27,2.9409,3.2319,2.6498,2.96,19760.370000000003
85,2021-08-28,3.065,3.45,2.964,3.2,27575.32
86,2021-08-29,2.893,3.136,2.86,2.901,33545.38
87,2021-08-30,2.778,2.942,2.653,2.718,23191.81
88,2021-08-31,2.592,2.9,2.55,2.7,16867.279999999995
89,2021-09-01,2.578,2.75,2.5194,2.661,9044.779999999997
90,2021-09-02,2.782,2.8402,2.624,2.704,6285.7
91,2021-09-03,2.665,2.75,2.63,2.69,10290.14
92,2021-09-04,2.758,2.93,2.6329,2.67,12370.220000000001
93,2021-09-05,2.7326,2.786,2.6814,2.74,7099.820000000001
94,2021-09-06,2.773,2.821,2.6402,2.759,18764.210000000003
95,2021-09-07,2.502,2.737,2.049,2.737,20632.309999999998
96,2021-09-08,2.142,2.5,1.86,2.066,15862.59
97,2021-09-09,2.096,2.24,1.995,2.164,15662.29
98,2021-09-10,2.157,2.2334,2.0039,2.1025,5277.71
99,2021-09-11,2.155,2.202,2.0638,2.16,4992.540000000002
100,2021-09-12,2.29,2.415,2.073,2.081,11427.079999999998
