,Date,Open,High,Low,Close,Volume
0,2021-10-09,0.2084,0.212,0.2034,0.2064,176681.0
1,2021-10-10,0.2069,0.212,0.1927,0.206,79808.0
2,2021-10-11,0.2,0.2019,0.185,0.19,70309.0
3,2021-10-12,0.1914,0.195,0.1739,0.1766,84409.0
4,2021-10-13,0.2009,0.2027,0.1847,0.1893,67323.0
5,2021-10-14,0.193,0.206,0.1889,0.2015,54592.0
6,2021-10-15,0.2006,0.2034,0.187,0.1974,44544.0
7,2021-10-16,0.2021,0.2095,0.1962,0.2009,74868.0
8,2021-10-17,0.1975,0.202,0.185,0.2006,222867.0
9,2021-10-18,0.1929,0.1936,0.1835,0.1846,73217.0
10,2021-10-19,0.1933,0.1935,0.18,0.1898,124016.0
11,2021-10-20,0.1893,0.2006,0.1845,0.1893,131630.0
12,2021-10-21,0.1968,0.2029,0.1875,0.1957,124952.0
13,2021-10-22,0.1914,0.1996,0.1877,0.1887,22569.0
14,2021-10-23,0.1887,0.1934,0.1885,0.1894,31431.0
15,2021-10-24,0.1828,0.1921,0.1813,0.1909,48238.0
16,2021-10-25,0.1883,0.1935,0.1823,0.1834,144881.0
17,2021-10-26,0.1982,0.2155,0.1918,0.1918,406731.0
18,2021-10-27,0.215,0.218,0.171,0.1794,307524.0
19,2021-10-28,0.177,0.19,0.17,0.1896,149932.0
20,2021-10-29,0.2016,0.2363,0.1853,0.192,633681.0
21,2021-10-30,0.2429,0.339,0.2,0.2254,840578.0
22,2021-10-31,0.2369,0.3278,0.23,0.2603,711224.0
23,2021-11-01,0.2567,0.2753,0.229,0.262,691851.0
24,2021-11-02,0.2845,0.2998,0.2546,0.2705,974231.0
25,2021-11-03,0.2662,0.28,0.246,0.2642,426882.0
26,2021-11-04,0.265,0.3069,0.24,0.2636,440613.0
27,2021-11-05,0.28,0.325,0.2606,0.2834,538495.0
28,2021-11-06,0.269,0.283,0.2604,0.2732,176906.0
29,2021-11-07,0.2802,0.295,0.27,0.2772,177549.0
30,2021-11-08,0.277,0.2946,0.266,0.2777,136807.0
31,2021-11-09,0.2908,0.2934,0.269,0.276,153748.0
32,2021-11-10,0.2705,0.28,0.2626,0.2709,176355.0
33,2021-11-11,0.2619,0.2703,0.229,0.256,400388.0
