,Date,Open,High,Low,Close,Volume
0,2018-07,0.033,0.043,0.032,0.035,905207.0
1,2018-08,0.036,0.037,0.016,0.025,3386146.0
2,2018-09,0.026,0.027,0.017,0.0223,8226696.0
3,2018-10,0.0221,0.0281,0.0209,0.0215,10999280.0
4,2018-11,0.0224,0.025,0.011,0.0146,15647233.0
5,2018-12,0.0141,0.0234,0.0122,0.0187,25627077.0
6,2019-01,0.0189,0.0345,0.0184,0.027,39777687.0
7,2019-02,0.0259,0.0288,0.0222,0.0236,17022268.0
8,2019-03,0.0234,0.0243,0.0207,0.02323,16464046.0
9,2019-04,0.02355,0.03147,0.022,0.0222,22497076.0
10,2019-05,0.02354,0.0365,0.02237,0.03176,34390227.0
11,2019-06,0.03565,0.04097,0.02908,0.03461,32888183.0
12,2019-07,0.03188,0.03527,0.02044,0.02217,32403809.0
13,2019-08,0.02217,0.0233,0.01512,0.01548,25297408.0
14,2019-09,0.01543,0.01852,0.01216,0.0131,33442524.0
15,2019-10,0.01446,0.02279,0.01364,0.01992,44851262.0
16,2019-11,0.01933,0.02064,0.01295,0.01545,37958553.0
17,2019-12,0.01545,0.0161,0.012,0.01316,45061535.0
18,2020-01,0.01328,0.01973,0.01277,0.01934,51885908.0
19,2020-02,0.01883,0.02684,0.01572,0.01682,56280455.0
20,2020-03,0.01673,0.0188,0.00684,0.01157,95203180.0
21,2020-04,0.01163,0.01676,0.01108,0.01617,82485573.0
22,2020-05,0.016,0.01723,0.01311,0.01666,116610775.0
23,2020-06,0.01616,0.01862,0.01479,0.01644,107684554.0
24,2020-07,0.01668,0.02,0.01624,0.01968,59840292.0
25,2020-08,0.02002,0.03268,0.01812,0.02946,107526719.0
26,2020-09,0.03041,0.04909,0.0245,0.02587,180898520.0
27,2020-10,0.02632,0.02882,0.024,0.02634,70314834.0
28,2020-11,0.0257,0.03887,0.02307,0.0325,83646570.9597
29,2020-12,0.03381,0.03405,0.02395,0.02699,104742986.0
30,2021-01,0.0271,0.03999,0.02653,0.03218,287447319.0
31,2021-02,0.0317,0.06433,0.0313,0.0443,326088525.0
32,2021-03,0.04551,0.09698,0.04498,0.0703,213755411.0
33,2021-04,0.0922,0.17941,0.07635,0.12932,257520144.0
34,2021-05,0.12941,0.16788,0.055,0.0744,177264005.0
35,2021-06,0.07556,0.08296,0.045,0.06542,101635463.0
36,2021-07,0.06742,0.06839,0.04904,0.06383,60482026.0
37,2021-08,0.06525,0.0963,0.06239,0.08767,83420440.0
38,2021-09,0.0933,0.12258,0.08002,0.0885,95837750.0
39,2021-10,0.08913,0.1058,0.08801,0.10137,78939505.0
