,Date,Open,High,Low,Close,Volume
0,2021-04-08,2.74,2.978,2.6903,2.74,175760.44000000003
1,2021-04-09,2.6276,2.766,2.5004,2.7153,56114.6
2,2021-04-10,2.4317,2.6021,2.4038,2.5628,53511.249999999985
3,2021-04-11,2.4017,2.4997,2.4,2.4293,19538.15
4,2021-04-12,2.3322,2.457,2.2933,2.311,34175.61
5,2021-04-13,2.28,2.3681,2.2223,2.262,27492.81
6,2021-04-14,2.2894,2.4153,2.1423,2.3543,55486.49
7,2021-04-15,2.3325,2.59,2.209,2.371,83574.21
8,2021-04-16,2.1499,2.385,1.8842,1.99,223255.03999999995
9,2021-04-17,2.0454,2.15,1.92,1.95,154823.05000000002
10,2021-04-18,1.7524,1.9995,1.5,1.6562,32676.68
11,2021-04-19,1.62,1.809,1.4513,1.7355,77668.4
12,2021-04-20,1.4365,1.5994,1.2744,1.429,116947.60000000002
13,2021-04-21,1.478,1.4975,1.2744,1.3179,67112.11
14,2021-04-22,1.363,1.4549,1.2,1.3428,79605.81999999999
15,2021-04-23,1.1449,1.2656,0.5026,1.1449,66539.15
16,2021-04-24,1.1197,1.3973,1.0496,1.116,22870.160000000003
17,2021-04-25,1.1328,1.2191,1.0554,1.2069,46026.42999999999
18,2021-04-26,1.28,1.46,1.0554,1.1811,80181.58000000002
19,2021-04-27,1.3044,1.4357,1.3044,1.4357,47929.29000000001
20,2021-04-28,1.3399,1.4575,1.2,1.2922,162489.17999999996
21,2021-04-29,1.3355,2.2,1.28,1.879,644953.0
22,2021-04-30,2.12,2.3456,1.8077,2.2877,503378.8700000001
23,2021-05-01,1.9075,2.055,1.8425,1.888,188948.99999999997
24,2021-05-02,1.8806,1.95,1.75,1.853,98730.22
25,2021-05-03,1.9538,2.0298,1.8533,1.8628,113751.32999999999
26,2021-05-04,1.8265,1.9071,1.6335,1.8244,45272.94999999999
27,2021-05-05,1.82,1.82,1.65,1.744,52460.450000000004
28,2021-05-06,1.6788,1.8336,1.59,1.7548,46118.01
29,2021-05-07,1.7198,1.7483,1.6027,1.6745,60095.04
30,2021-05-08,1.6652,1.7482,1.612,1.6523,32616.380000000005
31,2021-05-09,1.6171,1.6598,1.523,1.5968,11724.239999999998
32,2021-05-10,1.9,2.25,1.6211,1.6842,326480.88999999996
33,2021-05-11,1.732,1.7898,1.5733,1.6959,90494.92
34,2021-05-12,1.7006,1.7315,1.442,1.68,115194.99999999999
35,2021-05-13,1.3808,1.6434,1.3,1.5067,65983.02
36,2021-05-14,1.5494,1.5703,1.3883,1.5669,60974.13999999999
37,2021-05-15,1.4134,1.556,1.373,1.4259,68168.93999999999
38,2021-05-16,1.4455,1.5,1.2678,1.4456,157734.25999999998
39,2021-05-17,1.2658,1.3651,1.201,1.3083,45610.56
40,2021-05-18,1.3798,1.479,1.2788,1.3396,67024.2
41,2021-05-19,1.3724,1.4191,0.6062,1.15,27832.489999999998
42,2021-05-20,1.0324,1.2788,0.8377,1.0336,34758.369999999995
43,2021-05-21,1.0186,1.1,0.7328,1.0285,39422.45
