,Date,Open,High,Low,Close,Volume
0,2021-04-16 14:00:00,2.1499,2.17,2.06,2.153,11970.13
1,2021-05-09 22:00:00,1.6171,1.6393,1.6169,1.638,618.89
2,2021-05-13 18:00:00,1.3808,1.3896,1.3284,1.3576,2649.89
3,2021-06-12 12:00:00,0.9161,1.0405,0.916,0.916,2765.52
4,2021-06-13 00:00:00,0.9849,0.9849,0.9423,0.9423,46.6
5,2021-06-21 04:00:00,0.9,0.9,0.8554,0.8554,3375.39
6,2021-06-22 23:00:00,0.6614,0.6614,0.6614,0.6614,0.0
7,2021-07-10 04:00:00,0.7073,0.7073,0.7073,0.7073,0.0
8,2021-07-12 00:00:00,0.6934,0.6962,0.6934,0.6962,13.32
9,2021-07-17 23:00:00,0.5303,0.5303,0.5303,0.5303,0.0
10,2021-07-27 11:00:00,0.6342,0.6388,0.6342,0.6342,7195.41
11,2021-08-08 07:00:00,0.881,0.92,0.881,0.9146,6660.94
12,2021-08-13 23:00:00,1.239,1.2472,1.2302,1.2302,856.26
13,2021-08-15 00:00:00,1.2059,1.2087,1.1825,1.2,835.66
14,2021-08-29 15:00:00,1.1239,1.1239,1.1001,1.1231,1529.44
15,2021-09-28 13:00:00,1.0492,1.051,1.0092,1.0421,265.02
16,2021-10-04 11:00:00,1.031,1.045,1.031,1.045,613.56
17,2021-10-09 20:00:00,1.0412,1.0412,1.0412,1.0412,5.76
18,2021-10-09 22:00:00,1.0412,1.0755,1.0412,1.0755,19.6
19,2021-10-26 12:00:00,1.0461,1.0769,1.0461,1.0769,17.94
20,2021-04-07 19:00:00,2.758,2.8298,2.6,2.7993,26672.16
21,2021-04-12 13:00:00,2.3322,2.3571,2.3249,2.3463,2151.88
22,2021-04-29 03:00:00,1.3355,1.3355,1.2819,1.283,2151.91
23,2021-05-20 08:00:00,1.0324,1.0584,0.9923,1.029,3421.45
24,2021-05-25 10:00:00,0.8588,0.8674,0.7749,0.8083,18969.49
25,2021-05-27 01:00:00,0.9728,0.9753,0.9504,0.9504,6082.06
26,2021-06-24 07:00:00,0.6861,0.6904,0.681,0.6822,7093.34
27,2021-06-30 16:00:00,0.7352,0.7352,0.706,0.707,148.24
28,2021-08-28 02:00:00,1.1579,1.1579,1.1421,1.1421,422.0
29,2021-08-31 02:00:00,1.05,1.0554,1.04,1.04,475.76
30,2021-09-05 09:00:00,1.2356,1.2356,1.2265,1.2266,277.19
31,2021-09-08 02:00:00,1.0802,1.1653,1.0802,1.0817,107.82
32,2021-09-20 12:00:00,1.007,1.007,0.9707,0.9707,306.15
33,2021-09-24 04:00:00,0.9543,0.9544,0.9334,0.9497,268.88
34,2021-09-28 06:00:00,1.06,1.06,1.0385,1.0385,395.99
35,2021-10-05 00:00:00,1.06,1.06,1.008,1.008,3.03
36,2021-10-05 23:00:00,1.0944,1.0944,1.0678,1.07,457.33
37,2021-10-20 01:00:00,1.0471,1.0527,1.0403,1.0403,765.12
38,2021-10-20 13:00:00,1.049,1.049,1.04,1.04,45.03
39,2021-11-07 00:00:00,0.9749,0.9749,0.9749,0.9749,0.0
40,2021-11-10 04:00:00,0.985,1.003,0.985,1.003,77.68
41,2021-04-10 23:00:00,2.4317,2.46,2.4317,2.4584,1433.5
42,2021-04-14 18:00:00,2.2894,2.2901,2.2312,2.2834,1308.02
43,2021-04-22 16:00:00,1.363,1.44,1.363,1.3907,1892.57
44,2021-04-26 17:00:00,1.28,1.35,1.2798,1.3291,1692.43
45,2021-04-30 20:00:00,2.12,2.12,2.0609,2.0895,2716.73
46,2021-05-08 06:00:00,1.6652,1.7186,1.6652,1.6695,147.66
47,2021-05-16 05:00:00,1.4455,1.4455,1.4,1.445,3771.95
48,2021-05-16 17:00:00,1.3767,1.3869,1.3143,1.3817,12153.57
49,2021-05-30 09:00:00,0.8778,0.8778,0.8478,0.8478,74.42
50,2021-05-31 08:00:00,0.8719,0.8753,0.8699,0.8699,743.41
51,2021-06-07 15:00:00,1.392,1.3921,1.35,1.351,5774.88
52,2021-06-16 03:00:00,1.0532,1.0532,1.0193,1.0193,1616.15
53,2021-06-17 15:00:00,1.0012,1.0041,0.9904,1.0021,1134.19
54,2021-06-18 07:00:00,0.9663,0.9663,0.965,0.965,101.74
55,2021-06-27 08:00:00,0.6464,0.6748,0.6464,0.6493,3670.22
56,2021-07-01 04:00:00,0.75,0.75,0.7257,0.7257,3.87
57,2021-07-06 19:00:00,0.7626,0.775,0.7626,0.775,2.59
58,2021-07-11 02:00:00,0.6819,0.6819,0.6776,0.6776,3186.0
59,2021-07-15 01:00:00,0.6104,0.6104,0.6104,0.6104,0.0
60,2021-07-23 09:00:00,0.517,0.5897,0.4881,0.5636,49155.77
61,2021-08-03 18:00:00,0.625,0.625,0.625,0.625,0.0
62,2021-08-22 23:00:00,1.19,1.19,1.19,1.19,4.65
63,2021-08-26 02:00:00,1.2019,1.2019,1.1809,1.1829,1601.41
64,2021-09-09 18:00:00,1.2872,1.3036,1.28,1.2826,4798.52
65,2021-09-13 12:00:00,1.11,1.1328,1.11,1.1328,159.63
66,2021-09-21 17:00:00,0.9739,0.9739,0.94,0.95,3576.37
67,2021-09-27 07:00:00,1.0641,1.0662,1.0295,1.0351,2315.0
68,2021-10-02 23:00:00,1.0299,1.0299,1.0299,1.0299,0.0
69,2021-10-07 21:00:00,1.0162,1.0162,1.0162,1.0162,0.0
70,2021-10-10 13:00:00,1.0739,1.0739,1.0739,1.0739,15.85
71,2021-10-12 15:00:00,1.0425,1.0618,1.0345,1.0618,9.09
72,2021-04-07 20:00:00,2.7993,2.7993,2.6162,2.6711,802.93
73,2021-05-05 03:00:00,1.82,1.82,1.7183,1.7193,667.41
74,2021-05-06 20:00:00,1.6788,1.6788,1.5984,1.615,1458.42
75,2021-06-01 14:00:00,0.89,0.89,0.89,0.89,0.0
76,2021-06-01 18:00:00,0.9056,1.5709,0.9056,1.2299,91217.43
77,2021-06-07 02:00:00,1.4242,1.4672,1.424,1.4671,9017.48
78,2021-06-16 23:00:00,1.0155,1.0155,0.991,0.991,8.68
79,2021-06-27 01:00:00,0.6221,0.6561,0.6221,0.6561,3205.61
80,2021-07-12 12:00:00,0.682,0.682,0.671,0.6735,5700.86
81,2021-07-17 17:00:00,0.531,0.531,0.531,0.531,0.0
82,2021-07-21 07:00:00,0.4917,0.4977,0.4759,0.4759,2423.97
83,2021-08-02 02:00:00,0.6802,0.6802,0.6459,0.65,1578.1
84,2021-08-11 06:00:00,0.91,0.9297,0.91,0.9297,2212.98
