,Date,Open,High,Low,Close,Volume
0,2020-11,6.838,9.164,6.5,8.203,3102.9170000000004
1,2020-12,7.812,12.555,6.9,7.67,16240.784000000001
2,2021-01,8.115,13.248,7.336,10.73,8683.983
3,2021-02,10.991,44.0,10.855,18.373,33572.219000000005
4,2021-03,18.521,59.0,18.521,22.64,70149.184
5,2021-04,24.535,35.999,20.109,25.231,44491.994000000006
6,2021-05,26.566,34.0,9.479,13.336,31902.223
7,2021-06,13.671,18.355,7.3,9.955,34922.548
8,2021-07,9.493,10.653,7.218,8.816,46169.50400000001
9,2021-08,9.186,15.33,8.31,12.853,40424.47499999999
10,2021-09,12.592,14.8,8.5,8.893,27196.844
11,2021-10,8.959,14.5,8.959,11.253,29226.385
