,Date,Open,High,Low,Close,Volume
0,2020-09-18,6.7719,8.5,3.2864,3.2864,173646.55
1,2020-09-19,6.5414,7.5,5.2633,6.3022,63446.95999999999
2,2020-09-20,5.6224,6.0498,4.7129,5.5158,38357.21
3,2020-09-21,4.5649,5.6413,4.0673,4.5876,30166.080000000005
4,2020-09-22,4.1441,4.5117,3.7319,3.9608,17257.96
5,2020-09-23,4.2094,5.3593,3.9376,4.6753,66052.55
6,2020-09-24,4.9022,5.2444,4.2662,4.6985,39865.850000000006
7,2020-09-25,5.285,5.568,4.8817,5.1,30105.060000000005
8,2020-09-26,4.8504,4.9724,4.35,4.9072,21977.23
9,2020-09-27,5.0632,5.1984,4.7307,5.12,14643.879999999997
10,2020-09-28,4.6013,4.9159,4.2181,4.8583,14826.310000000001
11,2020-09-29,4.2439,4.4096,4.1405,4.2248,10808.72
12,2020-09-30,4.1717,4.3396,3.995,4.05,8615.64
13,2020-10-01,4.38,4.5069,3.9279,4.4699,16974.480000000003
14,2020-10-02,3.917,4.2239,3.6,3.8565,16550.77
15,2020-10-03,3.9334,4.1166,3.8123,3.9315,6906.12
16,2020-10-04,3.6556,3.9978,3.627,3.72,6987.63
17,2020-10-05,3.551,3.79,3.2229,3.35,16779.440000000002
18,2020-10-06,2.9912,3.3417,2.6848,3.249,33619.030000000006
19,2020-10-07,2.6827,2.9714,2.5088,2.615,28057.049999999996
20,2020-10-08,2.8922,3.4619,2.6758,3.0162,33040.9
21,2020-10-09,3.3428,3.5933,3.1882,3.3,19576.620000000003
22,2020-10-10,3.5126,3.6467,3.3,3.3531,13852.87
23,2020-10-11,3.36,3.4522,3.2,3.37,9711.23
24,2020-10-12,3.4836,3.5561,3.3172,3.4113,26303.270000000004
25,2020-10-13,3.4109,3.49,3.3228,3.4103,5103.92
26,2020-10-14,3.3575,3.4028,2.976,3.3747,16671.049999999996
27,2020-10-15,3.0929,3.1513,2.95,3.0604,9109.37
28,2020-10-16,3.185,3.3697,2.9,3.1983,15342.19
29,2020-10-17,3.058,3.125,2.9963,3.0738,8780.31
30,2020-10-18,3.1167,3.265,3.0362,3.0362,7468.87
31,2020-10-19,3.1997,3.2495,3.1413,3.1958,2055.9500000000003
