,Date,Open,High,Low,Close,Volume
0,2020-10,4.38,4.5069,2.2545,2.4034,363531.41000000003
1,2020-11,2.2361,4.4833,1.7,3.758,488833.39
2,2020-12,3.7,5.25,2.9125,4.452,290482.7
3,2021-01,5.0057,20.5464,4.449,19.024,465562.38000000006
4,2021-02,17.5981,33.0,16.7476,21.7492,211483.36
5,2021-03,23.9542,37.45,22.3893,28.12,101151.65999999999
6,2021-04,28.8468,43.743,27.0,40.488,142423.87999999998
7,2021-05,39.804,46.6716,13.154,26.1,91490.29999999999
8,2021-06,26.5049,29.2798,13.86,17.764,30850.009999999995
9,2021-07,18.785,23.3257,14.12,21.364,24714.729999999996
10,2021-08,22.5319,31.226,20.673,29.09,28348.339999999997
11,2021-09,30.2,31.24,17.89,23.55,40187.23999999999
12,2021-10,25.5298,28.35,22.32,25.18,19834.300000000003
