,Date,Open,High,Low,Close,Volume
0,2020-01-31,1.004,1.004,1.004,1.004,0.0
1,2020-02-01,1.004,1.004,1.004,1.004,0.0
2,2020-02-02,1.003,1.004,0.998,0.998,579.23
3,2020-02-03,1.004,1.004,1.003,1.004,1498.42
4,2020-02-04,1.004,1.004,1.0,1.004,4305.0
5,2020-02-05,1.001,1.001,0.999,1.001,2068.35
6,2020-02-06,0.999,0.999,0.997,0.997,1657.22
7,2020-02-07,0.999,0.999,0.999,0.999,0.0
8,2020-02-08,0.999,0.999,0.999,0.999,0.0
9,2020-02-09,0.999,0.999,0.999,0.999,0.0
10,2020-02-10,0.999,0.999,0.999,0.999,0.0
11,2020-02-11,1.001,1.001,0.999,1.001,562.38
12,2020-02-12,1.001,1.001,0.996,1.0,595.88
13,2020-02-13,0.997,1.002,0.996,0.996,687.74
14,2020-02-14,1.002,1.002,1.002,1.002,0.0
15,2020-02-15,1.002,1.003,0.998,1.002,475.25
16,2020-02-16,1.002,1.021,0.996,1.001,684.3900000000001
17,2020-02-17,0.996,1.001,0.996,0.996,278.76
18,2020-02-18,0.996,1.0,0.996,0.996,5.0
19,2020-02-19,1.0,1.0,1.0,1.0,0.0
20,2020-02-20,1.0,1.003,1.0,1.003,274.57
21,2020-02-21,0.997,1.003,0.997,1.003,101.0
22,2020-02-22,0.997,0.997,0.997,0.997,0.0
23,2020-02-23,0.998,0.998,0.994,0.994,44.03
24,2020-02-24,0.994,0.997,0.994,0.997,46.26
25,2020-02-25,0.997,0.997,0.997,0.997,0.0
26,2020-02-26,0.999,0.999,0.997,0.999,120.78
27,2020-02-27,1.002,1.003,0.999,0.999,104.96000000000001
28,2020-02-28,1.002,1.002,1.002,1.002,0.0
29,2020-02-29,1.001,1.002,1.001,1.001,200.0
30,2020-03-01,1.001,1.001,1.001,1.001,0.0
31,2020-03-02,1.001,1.001,1.001,1.001,0.0
32,2020-03-03,1.001,1.001,0.996,1.0,35.89
33,2020-03-04,0.996,1.002,0.996,1.002,61.16
34,2020-03-05,1.002,1.002,1.002,1.002,0.0
35,2020-03-06,1.002,1.002,0.995,1.002,57.96
36,2020-03-07,0.995,0.995,0.995,0.995,57.94
37,2020-03-08,1.001,1.002,0.995,1.002,31.21
38,2020-03-09,1.002,1.002,1.002,1.002,14.68
39,2020-03-10,1.002,1.002,1.002,1.002,10.0
40,2020-03-11,1.002,1.002,1.0,1.0,9.68
41,2020-03-12,1.001,1.002,0.998,1.002,4448.42
42,2020-03-13,0.997,1.002,0.994,1.002,810.3299999999999
43,2020-03-14,0.992,0.997,0.992,0.992,5.0
44,2020-03-15,1.002,1.004,0.992,0.999,59.830000000000005
45,2020-03-16,0.999,1.002,0.997,0.999,322.38
46,2020-03-17,0.997,0.997,0.997,0.997,0.0
47,2020-03-18,0.997,0.997,0.997,0.997,0.0
48,2020-03-19,0.997,0.997,0.994,0.994,402.04
49,2020-03-20,0.997,0.997,0.994,0.997,40.0
50,2020-03-21,1.002,1.002,0.994,1.002,1023.56
51,2020-03-22,1.002,1.002,0.995,0.995,18.560000000000002
52,2020-03-23,0.995,0.995,0.995,0.995,0.0
53,2020-03-24,0.999,0.999,0.995,0.995,26.15
54,2020-03-25,0.998,0.999,0.995,0.995,31.48
55,2020-03-26,0.995,0.998,0.995,0.998,1188.04
56,2020-03-27,0.994,1.0,0.994,1.0,7648.700000000001
57,2020-03-28,0.996,1.0,0.996,0.996,398.15
58,2020-03-29,0.994,0.997,0.994,0.997,618.09
59,2020-03-30,0.996,0.997,0.996,0.996,421.91
60,2020-03-31,0.996,1.0,0.995,0.995,2164.76
61,2020-04-01,1.0,1.0,0.995,1.0,504.02
62,2020-04-02,0.995,0.997,0.995,0.995,383.74
63,2020-04-03,1.0,1.0,0.996,0.996,17.25
64,2020-04-04,1.0,1.0,0.995,1.0,1673.19
65,2020-04-05,0.995,0.995,0.995,0.995,0.0
66,2020-04-06,0.995,1.0,0.995,0.995,1007.1999999999999
67,2020-04-07,1.0,1.0,0.996,0.996,62.76
68,2020-04-08,0.997,1.0,0.996,0.997,252.26
69,2020-04-09,0.997,0.997,0.997,0.997,0.0
70,2020-04-10,0.996,1.0,0.996,1.0,2584.6200000000003
71,2020-04-11,1.0,1.0,1.0,1.0,5.0
72,2020-04-12,0.995,1.0,0.995,1.0,820.93
73,2020-04-13,0.996,1.0,0.996,1.0,1698.53
74,2020-04-14,0.996,1.0,0.995,0.996,202.0
75,2020-04-15,0.995,1.0,0.995,0.997,1035.0
76,2020-04-16,0.996,1.0,0.996,0.997,18.61
77,2020-04-17,0.996,1.0,0.996,1.0,910.36
78,2020-04-18,0.996,1.001,0.996,0.996,518.45
79,2020-04-19,0.996,1.001,0.996,1.001,136.45
80,2020-04-20,0.998,1.001,0.996,1.001,57.64
81,2020-04-21,1.001,1.001,0.995,1.001,45.38
82,2020-04-22,1.001,1.3,0.996,0.996,793.4
83,2020-04-23,1.001,1.001,0.996,1.001,802.0
84,2020-04-24,1.05,1.05,0.996,1.05,674.89
85,2020-04-25,1.0,1.0,0.996,1.0,1596.99
86,2020-04-26,0.997,1.0,0.996,0.996,425.88
87,2020-04-27,0.996,1.0,0.996,0.996,690.9
88,2020-04-28,1.001,1.001,0.996,0.996,1063.0
89,2020-04-29,1.001,1.001,0.995,0.999,177.2
90,2020-04-30,1.001,1.001,0.998,1.001,498.1
91,2020-05-01,1.001,1.001,1.001,1.001,14.18
92,2020-05-02,1.001,1.001,0.996,0.996,1012.67
93,2020-05-03,0.996,0.997,0.996,0.997,50.45
94,2020-05-04,0.997,0.997,0.996,0.997,429.15
95,2020-05-05,1.001,1.001,0.996,1.001,263.57
96,2020-05-06,1.001,1.001,1.001,1.001,5.0
97,2020-05-07,1.001,1.001,1.0,1.001,37.11
98,2020-05-08,1.0,1.0,1.0,1.0,0.0
99,2020-05-09,1.0,1.0,1.0,1.0,24.8
100,2020-05-10,0.997,1.001,0.997,0.997,189.16
101,2020-05-11,1.001,1.001,1.001,1.001,14.98
102,2020-05-12,1.001,1.001,0.998,0.998,590.05
103,2020-05-13,0.997,1.001,0.997,0.998,11859.5
104,2020-05-14,0.997,1.001,0.996,0.998,11881.219999999998
105,2020-05-15,0.999,1.001,0.998,1.001,8125.389999999999
106,2020-05-16,1.001,1.001,1.001,1.001,19.98
107,2020-05-17,1.001,1.001,0.997,0.997,14.07
108,2020-05-18,1.001,1.001,0.997,0.997,84.1
109,2020-05-19,0.998,1.001,0.998,1.001,20.0
110,2020-05-20,1.001,1.001,0.998,1.001,98.09
111,2020-05-21,1.001,1.001,1.001,1.001,10.0
112,2020-05-22,1.001,1.001,0.997,1.001,2227.3199999999997
113,2020-05-23,1.001,1.001,0.997,1.001,20.0
114,2020-05-24,1.001,1.001,0.997,1.001,2426.17
115,2020-05-25,0.997,1.002,0.997,0.997,429.63
116,2020-05-26,0.997,1.002,0.997,1.002,24.0
117,2020-05-27,0.997,1.0,0.997,0.997,513.1600000000001
118,2020-05-28,0.997,1.0,0.997,0.997,5.96
119,2020-05-29,0.997,1.0,0.997,0.997,1990.34
120,2020-05-30,0.997,0.998,0.997,0.998,399.94000000000005
121,2020-05-31,0.997,0.997,0.997,0.997,0.0
122,2020-06-01,1.0,1.0,0.997,1.0,25145.61
123,2020-06-02,0.998,1.0,0.998,0.999,20152.67
124,2020-06-03,0.997,1.003,0.997,0.997,104529.05999999998
125,2020-06-04,1.004,1.004,0.997,0.997,6.5
126,2020-06-05,1.001,1.004,1.001,1.001,12.32
127,2020-06-06,0.998,1.002,0.998,1.002,1039.36
128,2020-06-07,0.997,1.002,0.997,0.997,3124.66
129,2020-06-08,0.997,0.997,0.997,0.997,3495.73
130,2020-06-09,0.997,0.997,0.997,0.997,905.53
131,2020-06-10,0.997,1.002,0.997,0.997,1535.99
132,2020-06-11,1.003,1.003,0.997,0.997,2012.75
133,2020-06-12,1.002,1.003,1.002,1.002,710.97
134,2020-06-13,0.998,1.002,0.998,0.998,26.5
135,2020-06-14,1.002,1.002,1.002,1.002,10.93
136,2020-06-15,1.002,1.002,0.998,1.002,10.0
137,2020-06-16,0.997,1.05,0.997,1.05,621.48
138,2020-06-17,0.998,1.05,0.998,0.998,3628.8
139,2020-06-18,1.001,1.001,1.001,1.001,166.7
140,2020-06-19,1.001,1.001,0.998,0.999,300.83000000000004
141,2020-06-20,1.001,1.001,0.998,1.001,124.82
142,2020-06-21,0.998,1.001,0.998,0.998,378.68
143,2020-06-22,0.998,1.001,0.997,0.997,361.78
144,2020-06-23,0.999,0.999,0.997,0.997,186.29000000000002
145,2020-06-24,0.997,0.997,0.997,0.997,0.0
146,2020-06-25,0.997,1.0,0.997,0.998,678.19
147,2020-06-26,0.998,1.0,0.998,0.999,500.13
148,2020-06-27,1.0,1.0,1.0,1.0,0.0
149,2020-06-28,1.003,1.003,1.0,1.002,209.28
150,2020-06-29,1.001,1.002,0.998,1.001,165.01999999999998
151,2020-06-30,0.998,1.001,0.997,0.998,315.05
152,2020-07-01,0.998,0.999,0.998,0.999,481.78
153,2020-07-02,0.997,1.002,0.997,0.999,1699.96
154,2020-07-03,1.002,1.143,0.997,0.997,85.0
155,2020-07-04,0.997,0.997,0.997,0.997,0.0
156,2020-07-05,0.997,0.997,0.997,0.997,52.0
157,2020-07-06,0.997,1.001,0.997,0.997,4115.4
158,2020-07-07,0.997,1.002,0.997,1.001,16412.6
159,2020-07-08,0.997,1.001,0.997,0.998,35788.33
160,2020-07-09,1.001,1.001,1.001,1.001,5.87
161,2020-07-10,1.001,1.001,0.998,0.998,53.85
162,2020-07-11,0.997,0.998,0.997,0.998,58.96
163,2020-07-12,0.997,1.002,0.997,0.997,7000.62
164,2020-07-13,1.002,1.002,0.997,0.997,1758.1399999999999
165,2020-07-14,0.998,1.003,0.998,0.998,164971.8
166,2020-07-15,1.003,1.11,0.998,1.003,415.14
167,2020-07-16,0.998,0.998,0.998,0.998,153.0
168,2020-07-17,0.998,0.998,0.998,0.998,65.0
169,2020-07-18,0.997,1.0,0.997,1.0,60.0
170,2020-07-19,1.0,1.111,0.997,0.997,138.47
171,2020-07-20,0.997,0.997,0.997,0.997,300.0
172,2020-07-21,1.0,1.0,0.997,1.0,20.0
173,2020-07-22,1.0,1.0,0.997,0.997,405.21000000000004
174,2020-07-23,1.0,1.0,0.996,1.0,1464.08
175,2020-07-24,0.996,0.996,0.996,0.996,5963.92
176,2020-07-25,0.996,1.0,0.996,0.996,1626.06
177,2020-07-26,0.996,0.999,0.996,0.996,1121.55
178,2020-07-27,1.0,1.0,0.996,1.0,3741.6700000000005
179,2020-07-28,0.996,1.0,0.996,0.996,433.65
180,2020-07-29,0.996,1.0,0.996,0.996,125.66
181,2020-07-30,0.997,1.0,0.996,0.997,29.990000000000002
182,2020-07-31,0.996,1.0,0.996,0.996,1019.5000000000001
183,2020-08-01,0.997,1.001,0.995,1.001,859.9
184,2020-08-02,0.997,1.002,0.995,0.995,1086.65
185,2020-08-03,1.002,1.002,0.997,1.002,2480.35
186,2020-08-04,0.997,1.001,0.997,1.001,870.99
187,2020-08-05,1.001,1.001,0.997,1.001,426.96
188,2020-08-06,1.001,1.001,0.996,1.001,263.2
189,2020-08-07,1.0,1.002,0.996,1.001,2646.9799999999996
190,2020-08-08,1.001,1.001,0.997,0.997,113.54
191,2020-08-09,0.997,1.001,0.996,0.997,939.84
192,2020-08-10,0.996,1.001,0.996,1.0,478.06
193,2020-08-11,0.996,1.001,0.996,1.001,147.72
194,2020-08-12,0.997,1.028,0.997,0.997,6710.780000000001
195,2020-08-13,1.002,1.002,0.995,1.002,1373.5199999999998
196,2020-08-14,0.995,1.002,0.995,0.996,24.68
197,2020-08-15,0.996,1.0,0.996,0.996,168.8
198,2020-08-16,1.0,1.0,0.997,1.0,203.68
199,2020-08-17,1.0,1.0,0.996,1.0,1472.9499999999998
200,2020-08-18,0.997,1.002,0.996,0.997,435.51
201,2020-08-19,0.997,1.002,0.997,0.997,1876.58
202,2020-08-20,0.997,1.002,0.997,1.002,1511.5
203,2020-08-21,0.996,1.002,0.996,0.996,26.0
204,2020-08-22,0.997,1.029,0.997,1.002,2383.12
205,2020-08-23,1.002,1.002,0.997,1.002,1457.46
206,2020-08-24,0.997,1.002,0.997,0.997,143.3
207,2020-08-25,0.997,1.002,0.996,0.997,5904.02
208,2020-08-26,0.998,0.998,0.996,0.998,3322.74
209,2020-08-27,0.997,0.998,0.997,0.998,42.19
210,2020-08-28,0.998,0.998,0.998,0.998,6.76
211,2020-08-29,0.997,1.002,0.996,0.998,1916.96
212,2020-08-30,1.002,1.002,0.997,0.997,587.08
213,2020-08-31,1.002,1.002,0.996,1.002,1548.75
