,Date,Open,High,Low,Close,Volume
0,2020-02-02 22:00:00,1.003,1.003,1.003,1.003,0.0
1,2020-02-08 04:00:00,0.999,0.999,0.999,0.999,0.0
2,2020-02-15 00:00:00,1.002,1.002,1.002,1.002,0.0
3,2020-02-16 12:00:00,1.002,1.021,0.996,0.996,222.37
4,2020-02-22 04:00:00,0.997,0.997,0.997,0.997,0.0
5,2020-02-27 18:00:00,1.002,1.002,1.002,1.002,0.0
6,2020-03-19 21:00:00,0.997,0.997,0.997,0.997,0.0
7,2020-03-28 23:00:00,0.996,0.996,0.996,0.996,0.0
8,2020-03-30 19:00:00,0.996,0.996,0.996,0.996,0.0
9,2020-04-08 14:00:00,0.997,0.997,0.997,0.997,0.0
10,2020-04-16 15:00:00,0.996,0.996,0.996,0.996,0.0
11,2020-04-16 17:00:00,0.996,0.996,0.996,0.996,0.0
12,2020-05-07 16:00:00,1.001,1.001,1.0,1.0,10.0
13,2020-05-16 13:00:00,1.001,1.001,1.001,1.001,0.0
14,2020-05-29 05:00:00,0.997,0.997,0.997,0.997,1345.34
15,2020-06-17 15:00:00,0.998,0.999,0.998,0.998,3600.0
16,2020-06-25 03:00:00,0.997,0.997,0.997,0.997,0.0
17,2020-07-06 09:00:00,0.997,0.997,0.997,0.997,0.0
18,2020-07-22 01:00:00,1.0,1.0,1.0,1.0,0.0
19,2020-08-09 11:00:00,0.997,0.997,0.997,0.997,0.0
20,2020-08-11 06:00:00,0.996,0.996,0.996,0.996,0.0
21,2020-08-22 13:00:00,0.997,0.997,0.997,0.997,0.0
22,2020-08-24 12:00:00,0.997,0.997,0.997,0.997,0.0
23,2020-08-27 11:00:00,0.997,0.997,0.997,0.997,0.0
24,2020-09-06 22:00:00,0.997,0.997,0.997,0.997,0.0
25,2020-09-14 00:00:00,0.997,0.997,0.997,0.997,0.0
26,2020-09-15 10:00:00,1.002,1.002,1.002,1.002,0.0
27,2020-09-19 08:00:00,1.002,1.002,1.002,1.002,0.0
28,2020-09-21 19:00:00,0.997,0.997,0.997,0.997,0.0
29,2020-09-25 18:00:00,1.002,1.002,1.002,1.002,0.0
30,2020-09-29 04:00:00,0.997,1.0,0.997,1.0,323.01
31,2020-10-05 14:00:00,0.997,0.997,0.997,0.997,0.0
32,2020-10-08 15:00:00,0.997,0.997,0.997,0.997,0.0
33,2020-10-23 11:00:00,1.001,1.001,1.001,1.001,0.0
34,2020-10-29 01:00:00,0.997,0.997,0.996,0.996,100.0
35,2020-11-15 00:00:00,0.996,0.996,0.996,0.996,0.0
36,2020-11-25 02:00:00,0.998,0.998,0.998,0.998,0.0
37,2020-12-21 15:00:00,0.997,0.997,0.997,0.997,0.0
38,2021-01-02 15:00:00,0.995,1.001,0.995,0.996,614.48
39,2021-01-03 22:00:00,0.997,0.997,0.997,0.997,27.84
40,2021-01-18 19:00:00,0.999,1.001,0.999,1.001,766.62
41,2021-01-28 17:00:00,0.998,0.998,0.998,0.998,0.0
42,2021-01-30 03:00:00,1.001,1.001,1.001,1.001,0.0
43,2021-02-03 15:00:00,1.001,1.001,0.996,0.996,352.4
44,2021-02-05 22:00:00,0.996,0.996,0.996,0.996,143.45
45,2021-02-10 11:00:00,0.996,0.996,0.995,0.995,47.68
46,2021-02-16 18:00:00,1.001,1.001,1.001,1.001,123.82
47,2021-02-19 01:00:00,0.997,0.997,0.997,0.997,383.57
48,2021-03-04 03:00:00,0.995,0.995,0.995,0.995,0.0
49,2021-04-04 22:00:00,1.0,1.0,0.921,0.95,656.03
50,2021-04-05 01:00:00,0.99,0.998,0.99,0.998,2533.32
51,2021-04-10 17:00:00,0.998,0.998,0.997,0.997,50.0
52,2021-04-17 21:00:00,0.987,0.987,0.987,0.987,2.14
53,2021-04-20 02:00:00,1.0,1.0,1.0,1.0,0.0
54,2021-04-21 21:00:00,0.996,0.996,0.996,0.996,0.0
55,2021-05-02 15:00:00,0.997,1.0,0.996,0.998,3980.06
56,2021-05-06 13:00:00,0.996,0.998,0.995,0.995,220.0
57,2021-05-24 18:00:00,0.998,0.999,0.997,0.999,74.34
58,2021-05-31 10:00:00,0.998,0.999,0.997,0.997,1266.39
59,2021-06-03 00:00:00,0.997,0.998,0.997,0.997,4357.33
60,2021-06-13 23:00:00,1.002,1.002,1.002,1.002,0.0
61,2021-06-27 07:00:00,0.996,0.997,0.996,0.997,4.08
62,2021-07-07 01:00:00,0.996,0.996,0.996,0.996,142.63
63,2021-07-07 17:00:00,0.996,0.996,0.996,0.996,656.0
64,2021-07-18 10:00:00,0.996,0.996,0.996,0.996,0.0
65,2021-08-03 16:00:00,1.0,1.0,0.996,0.996,973.0
66,2021-08-10 03:00:00,0.998,0.998,0.998,0.998,0.0
67,2021-08-10 15:00:00,0.995,0.999,0.995,0.999,19.34
68,2021-08-15 14:00:00,1.0,1.0,1.0,1.0,22.11
69,2021-08-17 09:00:00,0.996,0.996,0.996,0.996,0.0
70,2021-08-25 09:00:00,0.995,0.995,0.995,0.995,0.0
71,2021-09-05 05:00:00,0.995,0.995,0.995,0.995,33.02
72,2021-09-10 02:00:00,0.996,0.999,0.996,0.996,4.34
73,2021-09-10 19:00:00,0.996,0.996,0.996,0.996,240.0
74,2021-09-30 20:00:00,0.996,0.996,0.996,0.996,0.0
75,2021-10-06 14:00:00,0.995,0.995,0.995,0.995,2488.16
76,2021-10-12 20:00:00,0.995,0.995,0.995,0.995,0.0
77,2021-10-13 13:00:00,0.997,0.997,0.996,0.997,845.54
78,2021-10-16 19:00:00,0.996,0.998,0.996,0.998,7.12
79,2021-10-19 19:00:00,0.995,1.0,0.995,1.0,3.0
80,2021-10-29 21:00:00,0.999,0.999,0.981,0.981,43.54
81,2021-10-30 20:00:00,0.98,0.992,0.98,0.98,1099.67
82,2021-11-05 20:00:00,0.985,0.996,0.985,0.996,1330.96
83,2020-02-02 07:00:00,1.004,1.004,1.003,1.003,18.76
84,2020-02-08 05:00:00,0.999,0.999,0.999,0.999,0.0
85,2020-02-14 09:00:00,1.002,1.002,1.002,1.002,0.0
86,2020-02-23 15:00:00,0.998,0.998,0.998,0.998,0.0
87,2020-03-09 23:00:00,1.002,1.002,1.002,1.002,5.0
88,2020-03-12 19:00:00,1.001,1.001,1.001,1.001,149.7
89,2020-03-14 23:00:00,0.992,0.992,0.992,0.992,0.0
