,Date,Open,High,Low,Close,Volume
0,2020-02,1.004,1.021,0.994,1.001,14289.22
1,2020-03,1.001,1.004,0.992,0.995,19905.920000000006
2,2020-04,1.0,1.3,0.995,1.001,18655.75
3,2020-05,1.001,1.002,0.996,0.997,42779.990000000005
4,2020-06,1.0,1.05,0.997,0.998,170355.62999999998
5,2020-07,0.998,1.143,0.996,0.996,249567.21
6,2020-08,0.997,1.029,0.995,1.002,41430.57000000001
7,2020-09,1.002,1.029,0.996,0.997,393897.06000000006
8,2020-10,0.998,1.003,0.996,0.996,77682.49999999999
9,2020-11,0.996,1.003,0.984,1.002,88378.56999999999
10,2020-12,0.996,1.019,0.987,0.997,231395.16999999998
11,2021-01,0.996,1.005,0.975,1.002,474897.89999999997
12,2021-02,0.995,1.003,0.9,1.0,620934.93
13,2021-03,0.998,1.005,0.921,0.996,532247.52
14,2021-04,1.003,1.02,0.904,1.001,1378857.6199999996
15,2021-05,0.997,1.046,0.91,0.997,3094589.13
16,2021-06,1.001,1.299,0.9,0.999,2805617.9099999997
17,2021-07,0.996,1.004,0.93,0.995,605446.9800000001
18,2021-08,0.997,1.004,0.972,1.002,640571.8700000001
19,2021-09,0.995,1.01,0.945,0.996,944249.4300000002
20,2021-10,0.995,1.02,0.52,0.995,1423441.38
