,Date,Open,High,Low,Close,Volume
0,2021-09-11,0.995,1.004,0.995,1.004,4506.0
1,2021-09-12,0.996,1.002,0.995,1.0,935.3
2,2021-09-13,0.995,1.0,0.995,0.995,676.46
3,2021-09-14,0.995,0.999,0.995,0.999,362.33
4,2021-09-15,0.995,1.002,0.995,1.002,1404.68
5,2021-09-16,1.0,1.001,0.995,0.999,947.9900000000001
6,2021-09-17,0.995,1.0,0.995,0.995,567.4799999999999
7,2021-09-18,0.995,1.0,0.995,1.0,538.33
8,2021-09-19,0.995,1.002,0.995,0.995,424.55
9,2021-09-20,0.995,1.004,0.995,1.004,1177.52
10,2021-09-21,0.995,1.004,0.995,0.995,553.99
11,2021-09-22,1.003,1.003,0.995,1.003,116.95
12,2021-09-23,0.995,1.003,0.995,1.002,904.3700000000001
13,2021-09-24,1.003,1.003,0.995,0.995,163.32
14,2021-09-25,1.002,1.002,0.995,1.002,52.17
15,2021-09-26,1.002,1.005,0.995,0.996,9832.65
16,2021-09-27,0.995,1.002,0.995,0.995,119.08
17,2021-09-28,0.995,0.995,0.995,0.995,62.32
18,2021-09-29,0.995,0.995,0.995,0.995,118.53
19,2021-09-30,1.0,1.0,0.995,1.0,81.52000000000001
20,2021-10-01,1.0,1.0,0.995,1.0,116.62
21,2021-10-02,0.996,1.001,0.995,0.995,112.35
22,2021-10-03,0.995,1.002,0.995,0.995,156.32
23,2021-10-04,1.0,1.0,0.995,0.995,162.94
24,2021-10-05,0.995,0.999,0.995,0.999,110.36999999999999
25,2021-10-06,0.999,0.999,0.804,0.995,170.46
26,2021-10-07,0.998,0.998,0.995,0.995,30.53
27,2021-10-08,0.998,0.999,0.995,0.999,434.45
28,2021-10-09,0.998,0.999,0.995,0.995,371.78
29,2021-10-10,0.998,1.001,0.995,0.998,214.34
30,2021-10-11,0.995,1.002,0.995,0.998,13.23
31,2021-10-12,1.002,1.002,0.995,0.995,190.38
32,2021-10-13,0.995,0.995,0.995,0.995,10.06
33,2021-10-14,0.995,0.995,0.995,0.995,38.07
34,2021-10-15,0.996,0.997,0.995,0.995,15.17
35,2021-10-16,0.995,0.998,0.995,0.996,75.64000000000001
36,2021-10-17,0.995,0.997,0.995,0.997,14.15
37,2021-10-18,0.995,0.997,0.995,0.996,96.69999999999999
38,2021-10-19,0.996,0.997,0.995,0.996,183.9
39,2021-10-20,0.997,0.997,0.997,0.997,0.0
40,2021-10-21,0.997,0.998,0.997,0.997,49.129999999999995
41,2021-10-22,0.995,0.998,0.995,0.995,159.95
42,2021-10-23,0.995,1.0,0.995,0.995,71.09
43,2021-10-24,0.995,0.998,0.995,0.998,86.56
44,2021-10-25,0.998,1.0,0.995,0.998,21448.82
45,2021-10-26,1.0,1.004,0.995,0.999,93609.53
46,2021-10-27,0.995,95.0,0.901,0.994,230238.69999999998
47,2021-10-28,0.995,10.0,0.954,1.0,178358.22000000003
48,2021-10-29,0.995,1.014,0.98,0.996,35110.92
49,2021-10-30,0.996,1.011,0.96,1.0,20500.510000000002
50,2021-10-31,0.995,1.003,0.972,0.994,10360.929999999998
51,2021-11-01,0.995,1.002,0.994,0.995,5436.49
52,2021-11-02,0.994,0.999,0.99,0.999,3608.2600000000007
53,2021-11-03,0.994,1.0,0.991,0.994,54000.28
54,2021-11-04,0.965,0.998,0.965,0.997,7586.13
55,2021-11-05,0.98,0.994,0.965,0.965,2662.8900000000003
56,2021-11-06,0.966,0.989,0.966,0.978,2961.6499999999996
57,2021-11-07,0.986,0.986,0.968,0.984,2037.0100000000002
58,2021-11-08,0.994,0.996,0.979,0.995,6281.089999999998
59,2021-11-09,0.994,0.997,0.994,0.994,15512.8
60,2021-11-10,0.995,0.997,0.993,0.995,42049.81999999999
61,2021-11-11,0.995,0.997,0.993,0.996,2274.86
