,Date,Open,High,Low,Close,Volume
0,2018-07-11,70.0,100.0,67.5,70.0,2670.69
1,2018-07-12,72.3,72.3,69.1,69.53,3317.7799999999997
2,2018-07-13,70.03,72.3,67.0,69.7,5020.119999999999
3,2018-07-14,67.7,69.55,66.01,67.7,3940.0200000000004
4,2018-07-15,68.73,69.15,66.02,68.73,5200.990000000001
5,2018-07-16,67.79,68.88,67.29,68.7,6341.61
6,2018-07-17,67.29,67.68,62.0,66.6,4423.51
7,2018-07-18,63.5,67.58,62.01,66.99,10549.810000000001
8,2018-07-19,68.14,69.0,66.7,68.1,7225.05
9,2018-07-20,67.0,69.99,66.84,68.99,4443.2300000000005
10,2018-07-21,69.18,69.19,68.05,68.73,4202.11
11,2018-07-22,68.73,68.74,68.05,68.5,2923.3100000000004
12,2018-07-23,68.17,69.0,65.0,68.62,7557.5
13,2018-07-24,67.9,68.9,67.0,68.6,8350.370000000003
14,2018-07-25,67.67,68.5,67.32,67.67,8287.98
15,2018-07-26,67.99,68.1,67.35,67.46,5285.22
16,2018-07-27,67.37,68.4,66.36,68.27,5843.139999999999
17,2018-07-28,67.78,67.96,66.36,67.79,2907.7400000000002
18,2018-07-29,67.05,68.05,66.61,67.01,2576.3900000000003
19,2018-07-30,67.01,68.1,67.01,67.88,4561.59
20,2018-07-31,67.7,72.0,67.26,68.21,4463.6900000000005
21,2018-08-01,69.5,71.48,69.5,70.0,3746.649999999999
22,2018-08-02,70.5,74.85,69.58,74.85,3655.12
23,2018-08-03,72.5,74.85,71.2,72.25,4847.97
24,2018-08-04,74.0,75.0,71.51,71.51,5029.64
25,2018-08-05,74.96,75.0,72.26,73.23,2934.42
26,2018-08-06,73.5,75.0,73.05,73.28,3901.45
27,2018-08-07,74.72,75.0,70.1,75.0,7369.900000000001
28,2018-08-08,78.0,78.0,72.2,74.9,7878.820000000001
29,2018-08-09,77.5,79.99,75.05,77.5,3801.7199999999993
30,2018-08-10,77.01,81.0,75.17,76.43,7403.540000000002
31,2018-08-11,77.64,94.0,76.65,81.39,3284.5
32,2018-08-12,77.0,79.99,76.65,77.01,3953.5399999999995
33,2018-08-13,77.55,80.0,76.3,79.87,7834.329999999999
34,2018-08-14,82.0,84.79,78.0,78.68,7316.639999999999
35,2018-08-15,78.5,82.0,77.17,78.0,6170.79
36,2018-08-16,79.39,79.97,77.02,79.39,7666.9400000000005
37,2018-08-17,78.5,79.5,76.99,77.5,9783.890000000001
38,2018-08-18,77.73,78.0,74.0,77.98,6370.7800000000025
39,2018-08-19,77.0,78.48,75.01,78.48,7961.979999999999
40,2018-08-20,78.1,78.1,76.5,76.68,6935.25
41,2018-08-21,78.33,80.0,76.95,78.1,8318.71
42,2018-08-22,76.5,77.99,75.43,75.74,8773.81
43,2018-08-23,77.99,78.0,77.0,77.5,4916.43
44,2018-08-24,77.54,78.0,76.92,77.95,3887.2599999999998
45,2018-08-25,77.75,78.19,76.8,77.12,3748.0400000000004
46,2018-08-26,77.96,78.0,75.0,77.02,4971.47
47,2018-08-27,76.8,77.49,76.12,76.24,10940.64
48,2018-08-28,73.89,76.14,71.02,74.01,8099.0199999999995
49,2018-08-29,73.0,76.0,71.1,74.14,10494.82
50,2018-08-30,74.3,74.3,71.65,73.57,4843.55
51,2018-08-31,73.01,74.49,73.0,74.0,3880.53
52,2018-09-01,73.63,74.3,71.02,73.4,6125.380000000001
53,2018-09-02,71.95,72.83,71.0,71.46,5064.2699999999995
54,2018-09-03,71.91,72.8,66.15,71.42,6369.2699999999995
55,2018-09-04,70.0,71.92,67.0,70.15,2202.4900000000002
56,2018-09-05,69.52,77.69,69.0,72.29,5556.230000000001
57,2018-09-06,76.0,79.98,75.01,75.01,3068.75
58,2018-09-07,75.51,80.0,75.16,77.0,1627.5600000000006
59,2018-09-08,76.41,78.95,73.98,75.57,3592.01
60,2018-09-09,77.5,79.6,76.23,76.45,3137.9300000000003
61,2018-09-10,78.98,80.0,76.46,77.8,4342.5
62,2018-09-11,78.88,79.9,77.0,79.7,1924.9400000000003
63,2018-09-12,78.11,91.0,75.99,78.11,3314.7500000000005
64,2018-09-13,76.51,83.9,75.29,75.4,6658.08
65,2018-09-14,78.0,78.0,75.0,75.75,2064.37
66,2018-09-15,75.11,77.41,75.02,76.39,5471.939999999999
67,2018-09-16,75.15,77.39,75.11,77.39,2896.2999999999997
68,2018-09-17,75.15,77.83,75.0,75.21,5326.860000000001
69,2018-09-18,75.34,78.5,75.34,76.5,6282.849999999999
70,2018-09-19,75.5,76.38,74.99,75.03,5464.000000000001
71,2018-09-20,75.9,78.0,73.11,75.9,5321.6900000000005
72,2018-09-21,74.4,78.0,69.0,72.94,9927.36
73,2018-09-22,72.45,73.0,70.04,72.0,4840.469999999999
74,2018-09-23,71.97,72.3,70.5,72.3,5094.1
75,2018-09-24,72.53,74.5,72.0,73.01,5654.370000000001
76,2018-09-25,74.19,74.3,71.37,74.29,7944.780000000001
77,2018-09-26,73.5,74.15,71.22,71.22,4139.67
78,2018-09-27,74.2,74.49,72.2,73.0,4419.139999999999
79,2018-09-28,73.0,74.0,72.16,73.0,5427.449999999999
80,2018-09-29,73.4,73.46,70.0,72.39,6071.129999999999
81,2018-09-30,72.43,72.8,70.0,71.6,6965.37
82,2018-10-01,72.61,73.5,71.3,71.3,4539.48
83,2018-10-02,73.29,73.5,72.28,72.8,3582.5800000000004
84,2018-10-03,73.0,74.97,72.05,72.84,3704.5500000000006
85,2018-10-04,73.1,74.99,72.81,73.93,3823.670000000001
86,2018-10-05,74.14,74.14,73.4,74.0,3167.0299999999997
87,2018-10-06,73.85,74.9,72.53,74.86,3700.479999999999
88,2018-10-07,73.85,74.86,72.1,74.57,3326.14
89,2018-10-08,73.69,77.99,72.1,74.2,5173.260000000001
90,2018-10-09,73.5,74.53,73.5,73.7,4722.61
91,2018-10-10,74.75,75.1,73.24,74.8,3020.1299999999997
92,2018-10-11,78.3,79.98,74.25,79.0,4745.860000000001
93,2018-10-12,77.05,79.39,74.56,76.9,4255.35
94,2018-10-13,77.45,78.23,76.55,77.32,2956.27
95,2018-10-14,76.61,77.88,76.0,77.4,4775.36
96,2018-10-15,74.7,77.26,73.0,75.79,12291.710000000001
97,2018-10-16,73.77,74.47,73.02,73.87,4022.1499999999996
98,2018-10-17,74.44,74.44,73.05,73.89,2828.35
99,2018-10-18,73.38,74.75,73.01,73.98,5100.549999999999
100,2018-10-19,74.9,75.99,73.73,75.0,2969.68
101,2018-10-20,73.82,75.44,73.82,74.5,2909.7799999999997
102,2018-10-21,74.65,74.65,73.83,74.49,1479.97
103,2018-10-22,74.8,75.0,74.08,75.0,1771.98
104,2018-10-23,75.81,75.99,74.3,75.81,2123.4800000000005
105,2018-10-24,74.51,75.99,74.42,75.28,3267.05
106,2018-10-25,75.24,75.99,74.4,74.62,3526.43
107,2018-10-26,75.9,78.1,74.01,75.94,6193.96
108,2018-10-27,75.5,76.99,74.81,75.9,3227.21
109,2018-10-28,75.1,80.98,75.0,76.45,2754.8400000000006
110,2018-10-29,76.9,77.8,74.51,75.89,6503.48
111,2018-10-30,75.41,77.38,75.2,76.68,3357.26
112,2018-10-31,76.8,78.96,75.15,76.1,8108.709999999998
