,Date,Open,High,Low,Close,Volume
0,2018-07-16 01:00:00,67.79,68.88,67.79,68.88,14.51
1,2018-07-27 17:00:00,67.37,67.94,67.37,67.89,45.86
2,2018-08-15 23:00:00,78.5,78.5,78.5,78.5,0.0
3,2018-08-24 06:00:00,77.54,77.6,77.48,77.48,946.26
4,2018-08-30 14:00:00,74.3,74.3,74.3,74.3,509.12
5,2018-09-09 11:00:00,77.5,78.9,77.5,77.51,57.81
6,2018-09-18 16:00:00,75.34,76.4,75.34,76.4,420.8
7,2018-09-24 20:00:00,72.53,72.53,72.53,72.53,0.0
8,2018-09-30 16:00:00,72.43,72.43,72.0,72.42,423.6
9,2018-10-10 18:00:00,74.75,74.89,74.75,74.8,106.74
10,2018-10-29 13:00:00,76.9,76.9,76.0,76.0,56.7
11,2018-11-02 19:00:00,75.26,75.26,75.16,75.16,354.99
12,2018-11-21 02:00:00,83.9,83.9,83.9,83.9,0.0
13,2018-11-24 20:00:00,82.87,82.87,82.87,82.87,0.0
14,2018-12-04 09:00:00,81.1,81.91,81.1,81.91,107.16
15,2018-12-07 02:00:00,86.0,86.0,84.9,84.9,25.89
16,2018-12-18 17:00:00,79.94,79.94,79.94,79.94,0.0
17,2018-12-21 19:00:00,76.52,77.47,76.52,77.47,36.85
18,2018-12-27 17:00:00,80.5,81.0,80.5,81.0,26.96
19,2019-01-01 02:00:00,80.4,80.5,78.6,80.5,265.74
20,2019-01-02 15:00:00,79.75,79.75,78.83,78.83,38.09
21,2019-01-19 00:00:00,77.51,77.51,77.51,77.51,0.0
22,2019-01-25 17:00:00,76.49,76.5,76.49,76.5,62.83
23,2019-01-29 12:00:00,78.0,78.0,76.71,76.71,195.01
24,2019-01-29 14:00:00,78.32,78.32,78.25,78.25,52.73
25,2019-02-13 21:00:00,75.63,75.63,75.63,75.63,0.0
26,2019-02-24 00:00:00,72.57,72.57,71.0,71.0,1111.73
27,2019-03-10 14:00:00,75.71,75.71,75.19,75.19,23.11
28,2019-03-31 02:00:00,74.53,74.53,74.53,74.53,0.0
29,2019-04-04 14:00:00,72.59,72.59,72.34,72.59,23.8
30,2019-04-15 10:00:00,71.01,71.01,71.01,71.01,0.0
31,2019-05-02 07:00:00,73.77,73.77,73.77,73.77,0.0
