,Date,Open,High,Low,Close,Volume
0,2021-08-25,3.473,3.874,3.473,3.695,3788.0
1,2021-08-26,3.689,3.769,3.23,3.565,1602.0
2,2021-08-27,3.563,3.841,3.26,3.709,900.0
3,2021-08-28,3.675,3.787,3.577,3.592,462.0
4,2021-08-29,3.532,3.622,3.388,3.528,1088.0
5,2021-08-30,3.388,3.528,3.302,3.389,924.0
6,2021-08-31,3.5,3.698,3.221,3.5,879.0
7,2021-09-01,3.858,3.997,3.64,3.889,4013.0
8,2021-09-02,3.921,3.931,3.679,3.931,2390.0
9,2021-09-03,3.674,3.827,3.607,3.672,1777.0
10,2021-09-04,3.704,3.741,3.549,3.704,479.0
11,2021-09-05,3.658,3.709,3.593,3.612,2295.0
12,2021-09-06,3.576,3.673,3.34,3.588,546.0
13,2021-09-07,2.959,3.684,2.315,3.302,1401.0
14,2021-09-08,2.999,3.171,2.75,2.999,1307.0
15,2021-09-09,2.922,3.679,2.61,2.9,5960.0
16,2021-09-10,2.638,2.915,2.41,2.878,2521.0
17,2021-09-11,2.511,2.651,2.485,2.65,568.0
18,2021-09-12,2.634,2.687,2.454,2.647,1110.0
19,2021-09-13,2.728,2.78,2.4,2.551,1066.0
20,2021-09-14,2.551,2.698,2.5,2.5,57.0
21,2021-09-15,2.551,2.655,2.438,2.555,1776.0
22,2021-09-16,2.587,2.653,2.5,2.605,1481.0
23,2021-09-17,2.48,2.602,2.431,2.475,463.0
24,2021-09-18,2.57,3.348,2.493,2.526,9581.0
25,2021-09-19,3.09,3.435,2.861,2.889,9133.0
26,2021-09-20,2.762,3.091,2.483,2.746,2678.0
27,2021-09-21,2.4,2.617,2.392,2.566,109.0
28,2021-09-22,2.535,2.671,2.392,2.535,72.0
29,2021-09-23,2.596,2.671,2.534,2.584,1297.0
30,2021-09-24,2.518,2.584,2.342,2.561,1427.0
31,2021-09-25,2.463,2.507,2.13,2.316,344.0
32,2021-09-26,2.699,2.999,2.177,2.699,1135.0
33,2021-09-27,2.291,2.397,2.2,2.22,561.0
34,2021-09-28,2.175,2.245,2.106,2.178,463.0
35,2021-09-29,2.367,2.367,2.178,2.367,77.0
36,2021-09-30,2.447,2.735,2.231,2.592,992.0
37,2021-10-01,2.663,2.684,2.362,2.638,734.0
38,2021-10-02,2.577,2.595,2.48,2.531,1706.0
39,2021-10-03,2.456,2.549,2.359,2.359,4598.0
40,2021-10-04,2.319,2.415,2.3,2.413,2974.0
41,2021-10-05,2.294,2.404,2.194,2.404,2652.0
42,2021-10-06,2.308,2.404,2.182,2.28,725.0
43,2021-10-07,2.214,2.4,2.164,2.31,707.0
44,2021-10-08,2.26,2.854,2.232,2.26,9091.0
45,2021-10-09,2.45,2.657,2.383,2.45,1494.0
46,2021-10-10,2.399,2.427,2.33,2.34,623.0
47,2021-10-11,2.261,2.361,2.261,2.261,358.0
48,2021-10-12,2.33,2.75,2.212,2.212,915.0
49,2021-10-13,2.415,2.647,2.383,2.415,1108.0
50,2021-10-14,2.633,2.634,2.5,2.577,479.0
51,2021-10-15,2.481,2.531,2.369,2.443,343.0
52,2021-10-16,2.502,2.539,2.39,2.494,84.0
53,2021-10-17,2.366,2.437,2.298,2.298,324.0
54,2021-10-18,2.3,2.423,2.3,2.36,616.0
55,2021-10-19,2.345,2.364,2.29,2.29,309.0
56,2021-10-20,2.29,2.376,2.25,2.295,244.0
57,2021-10-21,2.313,2.375,2.26,2.36,467.0
58,2021-10-22,2.297,2.32,2.243,2.307,407.0
59,2021-10-23,2.253,2.321,2.244,2.265,169.0
60,2021-10-24,2.32,2.32,2.22,2.32,126.0
61,2021-10-25,2.217,2.276,2.217,2.259,319.0
62,2021-10-26,2.23,2.274,2.113,2.262,2660.0
63,2021-10-27,2.073,2.27,1.801,2.1,2634.0
64,2021-10-28,2.21,3.762,2.128,2.694,22311.0
65,2021-10-29,2.961,3.2,2.0,3.033,7984.0
66,2021-10-30,2.799,3.319,2.57,2.942,3047.0
67,2021-10-31,2.9,3.009,2.679,2.9,1572.0
68,2021-11-01,2.76,2.99,2.65,2.701,2008.0
69,2021-11-02,2.634,2.741,2.63,2.734,1853.0
70,2021-11-03,2.758,2.758,2.448,2.64,1468.0
71,2021-11-04,2.7,2.7,2.412,2.446,524.0
72,2021-11-05,2.49,2.57,2.412,2.49,1005.0
73,2021-11-06,2.411,2.53,2.411,2.502,807.0
74,2021-11-07,2.411,2.569,2.411,2.411,687.0
75,2021-11-08,2.677,2.698,2.42,2.68,1317.0
76,2021-11-09,2.703,2.726,2.619,2.703,533.0
77,2021-11-10,2.738,2.805,2.574,2.637,659.0
78,2021-11-11,2.732,2.732,2.55,2.662,1199.0
