,Date,Open,High,Low,Close,Volume
0,2021-04-13,0.14133,0.14228,0.12408,0.1408,562980.0
1,2021-04-14,0.13613,0.147,0.13253,0.14144,270353.0
2,2021-04-15,0.13511,0.14216,0.13356,0.13998,140903.0
3,2021-04-16,0.14984,0.18,0.12601,0.1325,1172771.0
4,2021-04-17,0.15026,0.17301,0.14409,0.1519,647992.0
5,2021-04-18,0.15226,0.15886,0.12,0.15472,382088.0
6,2021-04-19,0.14488,0.16336,0.1337,0.149,319407.0
7,2021-04-20,0.13913,0.14878,0.127,0.127,131573.0
8,2021-04-21,0.13732,0.14115,0.127,0.12892,91892.0
9,2021-04-22,0.12847,0.12892,0.10638,0.12847,123221.0
10,2021-04-23,0.09295,0.108,0.08195,0.09823,253873.0
11,2021-04-24,0.104,0.108,0.09087,0.09165,93538.0
12,2021-04-25,0.09,0.1017,0.08302,0.09796,73133.0
13,2021-04-26,0.1058,0.12705,0.08642,0.10283,112068.0
14,2021-04-27,0.11513,0.12,0.1038,0.11292,158107.0
15,2021-04-28,0.11762,0.15551,0.107,0.1464,657696.0
16,2021-04-29,0.15151,0.19597,0.12616,0.13977,2981343.0
17,2021-04-30,0.13595,0.14293,0.129,0.13739,1108437.0
18,2021-05-01,0.1346,0.16369,0.13183,0.15021,2876805.0
19,2021-05-02,0.14138,0.14799,0.13,0.14179,713816.0
20,2021-05-03,0.14179,0.144,0.13281,0.14044,414387.0
21,2021-05-04,0.1305,0.13457,0.11751,0.1292,400009.0
22,2021-05-05,0.12512,0.13032,0.115,0.12651,325731.0
23,2021-05-06,0.13032,0.13032,0.11722,0.1288,179760.0
24,2021-05-07,0.12589,0.128,0.117,0.12036,229896.0
25,2021-05-08,0.12254,0.12354,0.117,0.12,73887.0
26,2021-05-09,0.1101,0.1217,0.11,0.11457,103383.0
27,2021-05-10,0.12,0.12382,0.09922,0.10548,127739.0
28,2021-05-11,0.10591,0.1087,0.09714,0.10273,188473.0
29,2021-05-12,0.10985,0.11289,0.09283,0.103,144401.0
30,2021-05-13,0.09381,0.10615,0.08004,0.09381,272310.0
31,2021-05-14,0.08585,0.09853,0.0824,0.08349,451527.0
32,2021-05-15,0.08514,0.09,0.083,0.08738,137537.0
33,2021-05-16,0.0895,0.09375,0.08,0.08174,201251.0
34,2021-05-17,0.07359,0.08391,0.0707,0.07544,270996.0
35,2021-05-18,0.07808,0.08166,0.07317,0.08011,190540.0
36,2021-05-19,0.06449,0.07691,0.038,0.06537,226515.0
37,2021-05-20,0.05444,0.06869,0.04771,0.056,82760.0
38,2021-05-21,0.0503,0.06115,0.04247,0.05425,74090.0
39,2021-05-22,0.04623,0.04859,0.04053,0.04793,65101.0
40,2021-05-23,0.0459,0.05,0.03052,0.043,130808.0
41,2021-05-24,0.04727,0.04772,0.036,0.04488,70403.0
42,2021-05-25,0.04276,0.04853,0.04194,0.0426,146485.0
43,2021-05-26,0.05235,0.055,0.04845,0.05021,73513.0
44,2021-05-27,0.06199,0.06675,0.0475,0.06328,699506.0
45,2021-05-28,0.068,0.07387,0.05,0.05585,502893.0
46,2021-05-29,0.05151,0.05999,0.05001,0.05001,305926.0
47,2021-05-30,0.05001,0.05526,0.04795,0.05001,191580.0
48,2021-05-31,0.05464,0.05464,0.04971,0.05274,207893.0
49,2021-06-01,0.05344,0.05523,0.05063,0.05297,185175.0
50,2021-06-02,0.05459,0.05571,0.0498,0.05132,72543.0
51,2021-06-03,0.0545,0.05915,0.052,0.05452,80471.0
52,2021-06-04,0.05147,0.05691,0.05012,0.0522,54083.0
53,2021-06-05,0.05489,0.05538,0.049,0.05286,39145.0
54,2021-06-06,0.05313,0.0568,0.0491,0.04956,85871.0
55,2021-06-07,0.05476,0.05716,0.048,0.05616,127469.0
56,2021-06-08,0.04385,0.05014,0.04385,0.0474,301776.0
57,2021-06-09,0.04712,0.055,0.04454,0.05299,267021.0
58,2021-06-10,0.0528,0.056,0.04907,0.055,194085.0
59,2021-06-11,0.04781,0.05125,0.045,0.04781,48939.0
60,2021-06-12,0.04312,0.04589,0.04149,0.04569,52124.0
61,2021-06-13,0.04469,0.04612,0.04247,0.04503,8394.0
62,2021-06-14,0.0453,0.04715,0.04256,0.04588,149990.0
63,2021-06-15,0.047,0.04902,0.04491,0.04828,47276.0
64,2021-06-16,0.04533,0.04855,0.04477,0.04515,65379.0
65,2021-06-17,0.04711,0.05043,0.0455,0.05004,254714.0
66,2021-06-18,0.04617,0.04898,0.045,0.0452,37161.0
67,2021-06-19,0.04703,0.04788,0.04404,0.04704,60921.0
68,2021-06-20,0.04173,0.05277,0.0411,0.04539,129093.0
69,2021-06-21,0.03718,0.04501,0.0348,0.03742,405111.0
70,2021-06-22,0.032,0.04,0.02516,0.02722,169929.0
71,2021-06-23,0.03749,0.04,0.03,0.0355,55598.0
72,2021-06-24,0.03445,0.036,0.03255,0.03446,67913.0
73,2021-06-25,0.034,0.036,0.03105,0.03163,19359.0
74,2021-06-26,0.03149,0.0317,0.028,0.0295,90422.0
75,2021-06-27,0.0295,0.03085,0.02811,0.03085,138678.0
76,2021-06-28,0.03139,0.03182,0.02961,0.03182,96153.0
77,2021-06-29,0.0319,0.03649,0.03147,0.03147,170244.0
78,2021-06-30,0.03644,0.03649,0.03372,0.03433,104112.0
79,2021-07-01,0.03546,0.03606,0.03387,0.03546,11793.0
80,2021-07-02,0.03407,0.03551,0.03212,0.03407,21367.0
81,2021-07-03,0.03496,0.0358,0.03261,0.03261,26476.0
82,2021-07-04,0.035,0.03585,0.03417,0.03417,347931.0
83,2021-07-05,0.03417,0.0356,0.03257,0.03344,189316.0
84,2021-07-06,0.034,0.03454,0.03233,0.03399,48161.0
85,2021-07-07,0.03331,0.0358,0.03236,0.03372,283296.0
86,2021-07-08,0.03384,0.035,0.03151,0.03323,172906.0
87,2021-07-09,0.03197,0.03551,0.03099,0.03216,52133.0
88,2021-07-10,0.0334,0.03551,0.03314,0.03415,21892.0
89,2021-07-11,0.03339,0.03621,0.03268,0.035,113966.0
90,2021-07-12,0.03647,0.03734,0.03509,0.03734,75470.0
91,2021-07-13,0.03636,0.03647,0.0341,0.03506,23866.0
92,2021-07-14,0.032,0.036,0.03038,0.03269,289071.0
93,2021-07-15,0.03386,0.03449,0.0315,0.03386,8803.0
94,2021-07-16,0.0315,0.0321,0.03037,0.03155,1811.0
95,2021-07-17,0.03,0.03102,0.02901,0.03022,8147.0
96,2021-07-18,0.03111,0.03143,0.02886,0.02886,101704.0
97,2021-07-19,0.02959,0.03065,0.02713,0.03063,75799.0
98,2021-07-20,0.02697,0.036,0.026,0.02697,17568.0
99,2021-07-21,0.02782,0.02972,0.026,0.026,261882.0
100,2021-07-22,0.02972,0.02972,0.0274,0.0274,33776.0
101,2021-07-23,0.02986,0.03104,0.02861,0.02986,1019369.0
102,2021-07-24,0.0355,0.04,0.02986,0.03454,736988.0
103,2021-07-25,0.03467,0.03894,0.03274,0.03506,162560.0
104,2021-07-26,0.03485,0.0369,0.03337,0.03528,386240.0
105,2021-07-27,0.03226,0.03432,0.0313,0.03266,42390.0
106,2021-07-28,0.03228,0.03438,0.032,0.03228,91430.0
107,2021-07-29,0.032,0.0335,0.032,0.032,23822.0
108,2021-07-30,0.0314,0.03575,0.0314,0.0354,56263.0
109,2021-07-31,0.03381,0.03485,0.03245,0.03269,73685.0
110,2021-08-01,0.03496,0.035,0.03369,0.03369,55885.0
111,2021-08-02,0.03545,0.03588,0.034,0.03416,41258.0
112,2021-08-03,0.034,0.0354,0.033,0.033,44917.0
113,2021-08-04,0.03339,0.0348,0.03292,0.03369,44586.0
114,2021-08-05,0.0336,0.03638,0.03357,0.03496,238485.0
115,2021-08-06,0.036,0.0423,0.0355,0.037,131462.0
116,2021-08-07,0.0391,0.04221,0.0383,0.0391,118062.0
117,2021-08-08,0.03929,0.04292,0.03741,0.041,117387.0
118,2021-08-09,0.0392,0.0428,0.03765,0.041,63021.0
119,2021-08-10,0.043,0.04607,0.0407,0.04215,564973.0
120,2021-08-11,0.0431,0.05265,0.04201,0.04948,285834.0
121,2021-08-12,0.04601,0.05246,0.04311,0.04638,342642.0
122,2021-08-13,0.05092,0.0538,0.04537,0.05079,228230.0
123,2021-08-14,0.05055,0.05245,0.04771,0.05048,89796.0
124,2021-08-15,0.04823,0.05199,0.04821,0.05144,69824.0
125,2021-08-16,0.05144,0.0562,0.05057,0.05409,389656.0
126,2021-08-17,0.04875,0.05569,0.04875,0.054,60748.0
127,2021-08-18,0.04903,0.05097,0.04592,0.04931,160537.0
128,2021-08-19,0.04774,0.05231,0.0464,0.0466,51933.0
129,2021-08-20,0.0504,0.05321,0.04948,0.05316,1410748.0
130,2021-08-21,0.0533,0.05348,0.0505,0.05298,125317.0
131,2021-08-22,0.05136,0.05253,0.05,0.05226,49855.0
132,2021-08-23,0.05279,0.05299,0.05,0.0508,72933.0
133,2021-08-24,0.05195,0.05195,0.048,0.04878,250601.0
134,2021-08-25,0.04993,0.05115,0.046,0.04947,79980.0
135,2021-08-26,0.0492,0.05115,0.0453,0.051,42081.0
136,2021-08-27,0.04832,0.05076,0.0476,0.0476,30819.0
137,2021-08-28,0.05274,0.053,0.04977,0.05014,91363.0
138,2021-08-29,0.05361,0.057,0.0507,0.05469,514935.0
139,2021-08-30,0.05263,0.056,0.05137,0.05365,117455.0
140,2021-08-31,0.0533,0.056,0.0528,0.05553,61714.0
141,2021-09-01,0.05552,0.06,0.053,0.05401,106614.0
142,2021-09-02,0.06101,0.06679,0.058,0.063,220824.0
