,Date,Open,High,Low,Close,Volume
0,2019-07-09,1.8746,1.9032,1.8391,1.9032,163.37
1,2019-07-10,1.7914,1.8391,1.7074,1.825,720.72
2,2019-07-11,1.5936,1.728,1.4878,1.5475,515.8299999999999
3,2019-07-12,1.5936,1.5936,1.5936,1.5936,0.0
4,2019-07-13,1.5936,1.5936,1.55,1.5692,119.84
5,2019-07-14,1.5692,1.5692,1.5364,1.5692,137.88
6,2019-07-15,1.45,1.5364,1.45,1.45,48.96
7,2019-07-16,1.5037,1.5764,1.45,1.5179,247.85999999999999
8,2019-07-17,1.48,1.48,1.3857,1.422,101.02000000000001
9,2019-07-18,1.3935,1.5,1.3935,1.3935,90.82
10,2019-07-19,1.4509,1.5,1.4509,1.5,90.17
11,2019-07-20,1.4707,1.5,1.4688,1.4688,643.98
12,2019-07-21,1.481,1.5,1.465,1.465,150.82
13,2019-07-22,1.465,1.465,1.465,1.465,0.0
14,2019-07-23,1.3794,1.465,1.3328,1.3328,130.32999999999998
15,2019-07-24,1.3319,1.3482,1.3319,1.3482,45.0
16,2019-07-25,1.4009,1.4084,1.3482,1.4009,39.66
17,2019-07-26,1.4009,1.4232,1.4009,1.4009,56.21
18,2019-07-27,1.41,1.41,1.358,1.358,61.05
19,2019-07-28,1.358,1.358,1.358,1.358,0.0
20,2019-07-29,1.358,1.419,1.358,1.358,20.0
21,2019-07-30,1.3684,1.419,1.3684,1.3684,152.49
22,2019-07-31,1.3856,1.3856,1.3639,1.3684,97.13
23,2019-08-01,1.3776,1.3856,1.3774,1.3776,110.48
24,2019-08-02,1.3521,1.3774,1.3521,1.3521,2.23
25,2019-08-03,1.3593,1.3595,1.3521,1.3593,230.81
26,2019-08-04,1.3593,1.3593,1.3495,1.3593,48.9
27,2019-08-05,1.3495,1.4428,1.3495,1.4428,208.39
28,2019-08-06,1.3514,1.4428,1.35,1.3514,247.23000000000002
29,2019-08-07,1.3514,1.3514,1.3277,1.3514,155.98000000000002
30,2019-08-08,1.33,1.3543,1.33,1.33,66.37
31,2019-08-09,1.35,1.35,1.35,1.35,0.0
32,2019-08-10,1.35,1.35,1.2939,1.2939,76.92
33,2019-08-11,1.35,1.35,1.3082,1.35,75.31
34,2019-08-12,1.3049,1.35,1.295,1.35,146.82
35,2019-08-13,1.3177,1.3177,1.2881,1.2881,109.42
36,2019-08-14,1.1925,1.2881,1.1925,1.2881,136.89
37,2019-08-15,1.1925,1.1925,1.1925,1.1925,0.0
38,2019-08-16,1.1925,1.1933,1.1925,1.1933,9.2
39,2019-08-17,1.1955,1.1955,1.1933,1.1955,9.2
40,2019-08-18,1.2085,1.2494,1.1955,1.2469,221.42
41,2019-08-19,1.2469,1.2639,1.2469,1.2469,9.0
42,2019-08-20,1.2639,1.2639,1.248,1.248,30.11
43,2019-08-21,1.248,1.248,1.192,1.2165,261.81
44,2019-08-22,1.2165,1.292,1.2165,1.2828,64.33
45,2019-08-23,1.247,1.317,1.2461,1.317,219.4
46,2019-08-24,1.3117,1.33,1.2836,1.2981,165.01
47,2019-08-25,1.3062,1.3062,1.2836,1.3062,2.23
48,2019-08-26,1.3062,1.3062,1.3062,1.3062,0.0
49,2019-08-27,1.3062,1.3062,1.2222,1.2222,39.18
50,2019-08-28,1.2222,1.2222,1.1461,1.2222,3.02
51,2019-08-29,1.1461,1.1461,1.113,1.113,2.4
52,2019-08-30,1.113,1.113,1.113,1.113,0.0
53,2019-08-31,1.113,1.1218,1.113,1.113,23.46
54,2019-09-01,1.1157,1.1157,1.1024,1.1157,10.2
55,2019-09-02,1.1222,1.1222,1.1122,1.1157,38.61
56,2019-09-03,1.1222,1.1461,1.1222,1.1222,747.82
57,2019-09-04,1.1223,1.1461,1.1223,1.1223,356.52
58,2019-09-05,1.1084,1.1363,1.1084,1.1084,51.709999999999994
59,2019-09-06,1.1184,1.1184,1.0875,1.1184,36.82
60,2019-09-07,1.0875,1.0875,1.0875,1.0875,0.0
61,2019-09-08,1.0875,1.0875,1.0751,1.0754,477.8
62,2019-09-09,1.0754,1.0754,1.0419,1.0419,330.0
63,2019-09-10,1.0734,1.0734,1.04,1.04,110.19
64,2019-09-11,1.0182,1.04,1.0149,1.04,282.05
65,2019-09-12,1.0119,1.0149,1.0119,1.0119,12.31
66,2019-09-13,1.0119,1.0119,1.0119,1.0119,5.73
67,2019-09-14,1.014,1.0238,1.0119,1.0238,528.86
68,2019-09-15,1.0541,1.0541,1.014,1.0541,258.21
69,2019-09-16,1.0332,1.0541,1.0332,1.0332,26.33
70,2019-09-17,1.0332,1.1092,1.0332,1.0332,193.0
71,2019-09-18,1.164,1.164,1.0912,1.0912,154.8
72,2019-09-19,1.0684,1.164,1.05,1.0684,180.28000000000003
73,2019-09-20,1.0378,1.0684,1.0378,1.0641,120.81
74,2019-09-21,1.0378,1.0378,1.03,1.0378,23.53
