,Date,Open,High,Low,Close,Volume
0,2019-07,1.899,1.9474,1.3319,1.3684,5285.81
1,2019-08,1.3776,1.4428,1.113,1.113,2675.52
2,2019-09,1.1157,1.1836,0.796,0.8485,8720.849999999999
3,2019-10,0.8485,0.9665,0.6966,0.8122,7961.8
4,2019-11,0.7819,0.8295,0.5373,0.6235,14530.52
5,2019-12,0.6044,1.0835,0.5294,1.0309,41337.549999999996
6,2020-01,1.0092,1.0724,0.8061,0.8758,26297.99
7,2020-02,0.8833,1.7145,0.8833,1.1676,42897.19
8,2020-03,1.1797,1.4399,0.694,0.8428,41758.07
9,2020-04,0.9674,1.28,0.915,1.0697,36758.91
10,2020-05,1.0905,1.165,0.9135,1.1088,14392.580000000002
11,2020-06,1.1006,1.3137,1.1006,1.1514,15641.310000000001
12,2020-07,1.1514,1.8,1.1215,1.5117,36228.97
13,2020-08,1.5439,4.7737,1.5117,3.4544,2484639.7099999995
14,2020-09,3.8139,3.855,2.1097,2.4664,63287.700000000004
15,2020-10,2.5016,3.5571,2.0825,3.2404,29466.74
16,2020-11,3.2126,8.6,3.0819,7.0187,45817.6181
17,2020-12,7.019,9.2706,5.5,6.6407,22564.680000000004
18,2021-01,6.0,8.28,5.1,6.9,66782.53
19,2021-02,6.4759,13.8894,6.3713,8.5758,43306.53999999999
20,2021-03,9.366,13.5311,8.5758,11.8972,21190.58
21,2021-04,11.8752,25.0,11.0,21.88,63852.24
22,2021-05,22.5407,41.9561,10.0,13.1,54795.94999999999
23,2021-06,12.9533,19.0,11.347,16.298,41595.03
24,2021-07,15.621,17.767,11.79,16.359,10372.5
25,2021-08,16.645,29.0049,15.4,26.17,17248.75
26,2021-09,28.8,34.57,21.3,24.0,9222.69
27,2021-10,24.29,34.9997,23.91,26.2679,10199.36
