,Date,Open,High,Low,Close,Volume
0,2019-08-28,0.0003381,0.0003468,0.0003188,0.0003461,10822921.0
1,2019-08-29,0.0003131,0.0003196,0.000299,0.0003131,3016885.0
2,2019-08-30,0.000299,0.000299,0.000299,0.000299,0.0
3,2019-08-31,0.000299,0.0003123,0.000299,0.000299,60398.0
4,2019-09-01,0.0003123,0.0003123,0.0003048,0.0003055,94403.0
5,2019-09-02,0.0003055,0.0003065,0.000304,0.0003065,35000.0
6,2019-09-03,0.000314,0.0003142,0.000303,0.0003089,342822.0
7,2019-09-04,0.000301,0.0003052,0.000299,0.000301,99776.0
8,2019-09-05,0.0002956,0.000301,0.000288,0.000297,5182818.0
9,2019-09-06,0.000288,0.000288,0.0002685,0.0002732,1053276.0
10,2019-09-07,0.0002593,0.0002685,0.0002593,0.000261,241581.0
11,2019-09-08,0.00025,0.000261,0.0002449,0.000252,15206372.0
12,2019-09-09,0.00025,0.0002527,0.0002476,0.0002476,12058733.0
13,2019-09-10,0.0002503,0.0002503,0.00024,0.0002476,551806.0
14,2019-09-11,0.00024,0.00024,0.0002252,0.0002381,2306039.0
15,2019-09-12,0.0002095,0.000227,0.000208,0.000223,42609488.0
16,2019-09-13,0.0002209,0.0002251,0.0002202,0.0002202,3810694.0
17,2019-09-14,0.0002251,0.0002288,0.0002251,0.0002251,11448712.0
18,2019-09-15,0.00023,0.00023,0.0002254,0.00023,188194.0
19,2019-09-16,0.0002254,0.0002254,0.0002208,0.0002254,120220.0
20,2019-09-17,0.000221,0.0002364,0.0002208,0.0002336,3889059.0
21,2019-09-18,0.0002336,0.0002428,0.0002336,0.0002421,4892936.0
22,2019-09-19,0.0002299,0.0002421,0.0002283,0.0002283,182637.0
23,2019-09-20,0.000233,0.000234,0.0002283,0.000233,940564.0
24,2019-09-21,0.0002385,0.0002385,0.000233,0.000233,736605.0
25,2019-09-22,0.0002414,0.0002416,0.0002385,0.0002414,755961.0
26,2019-09-23,0.0002268,0.0002414,0.0002268,0.0002268,12500.0
27,2019-09-24,0.0001852,0.0002268,0.0001851,0.0001852,9145682.0
28,2019-09-25,0.0001777,0.0001852,0.000169,0.000169,358952.0
29,2019-09-26,0.0001708,0.0001708,0.000169,0.0001708,272451.0
30,2019-09-27,0.0001708,0.0001708,0.0001668,0.0001708,50000.0
31,2019-09-28,0.0001718,0.0001718,0.0001668,0.0001672,620372.0
32,2019-09-29,0.0001718,0.0001718,0.000168,0.0001718,12697.0
33,2019-09-30,0.0001508,0.000168,0.0001408,0.0001622,13265364.0
34,2019-10-01,0.000149,0.0001505,0.000139,0.000149,15880910.0
35,2019-10-02,0.0001415,0.0001415,0.0001391,0.0001415,3368799.0
36,2019-10-03,0.0001366,0.0001434,0.0001366,0.0001413,3663332.0
37,2019-10-04,0.0001434,0.0001434,0.0001366,0.0001434,48439.0
38,2019-10-05,0.0001433,0.000146,0.0001433,0.000146,37500.0
39,2019-10-06,0.0001379,0.0001433,0.0001379,0.00014,2408162.0
40,2019-10-07,0.0001339,0.0001431,0.0001339,0.0001339,2777298.0
41,2019-10-08,0.0001437,0.0001484,0.0001405,0.0001405,11756071.0
42,2019-10-09,0.000148,0.0001551,0.000148,0.0001485,11845907.0
43,2019-10-10,0.0001507,0.0001514,0.0001435,0.0001442,6135189.0
44,2019-10-11,0.0001529,0.0001529,0.0001455,0.0001529,784770.0
45,2019-10-12,0.0001535,0.0001553,0.0001504,0.0001535,1966547.0
46,2019-10-13,0.000154,0.0001563,0.0001523,0.0001563,1952048.0
47,2019-10-14,0.0001563,0.0001631,0.0001563,0.0001563,1551961.0
48,2019-10-15,0.0001631,0.0001631,0.0001574,0.0001631,2265912.0
49,2019-10-16,0.0001403,0.0001574,0.0001355,0.0001355,12453242.0
50,2019-10-17,0.0001436,0.0001614,0.00014,0.0001614,11117226.0
51,2019-10-18,0.0001476,0.0001611,0.0001462,0.0001476,1105538.0
52,2019-10-19,0.0001443,0.0001493,0.0001423,0.0001476,330312.0
53,2019-10-20,0.0001423,0.0001441,0.0001423,0.0001423,2096089.0
