,Date,Open,High,Low,Close,Volume
0,2019-08-27 16:00:00,0.0003395,0.0003395,0.0003395,0.0003395,0.0
1,2019-08-31 09:00:00,0.000299,0.000299,0.000299,0.000299,0.0
2,2019-09-05 04:00:00,0.0002956,0.0002956,0.0002956,0.0002956,0.0
3,2019-09-16 07:00:00,0.0002254,0.0002254,0.0002254,0.0002254,0.0
4,2019-09-19 11:00:00,0.0002299,0.0002299,0.0002299,0.0002299,0.0
5,2019-10-18 14:00:00,0.0001476,0.0001476,0.0001476,0.0001476,0.0
6,2019-11-20 22:00:00,0.00015,0.00015,0.00015,0.00015,0.0
7,2019-11-28 22:00:00,0.0001153,0.0001153,0.0001153,0.0001153,0.0
8,2019-12-09 05:00:00,0.0001076,0.0001076,0.0001076,0.0001076,0.0
9,2019-12-12 20:00:00,9.41e-05,9.41e-05,9.41e-05,9.41e-05,0.0
10,2019-12-13 01:00:00,9.41e-05,9.41e-05,9.41e-05,9.41e-05,0.0
11,2019-12-14 18:00:00,9.66e-05,9.66e-05,9.66e-05,9.66e-05,0.0
12,2020-01-24 11:00:00,0.0001003,0.0001003,0.0001003,0.0001003,0.0
13,2020-01-26 09:00:00,0.0001003,0.0001003,0.0001003,0.0001003,0.0
14,2020-01-27 22:00:00,0.0001026,0.0001026,0.0001026,0.0001026,0.0
15,2020-02-11 20:00:00,0.0001289,0.0001289,0.0001282,0.0001282,138049.0
16,2020-02-12 10:00:00,0.0001295,0.0001295,0.0001295,0.0001295,0.0
17,2020-02-19 20:00:00,0.0001175,0.0001175,0.0001175,0.0001175,0.0
18,2020-03-09 14:00:00,8.65e-05,8.65e-05,8.65e-05,8.65e-05,0.0
19,2020-03-12 20:00:00,6.11e-05,6.12e-05,6.05e-05,6.05e-05,124112.0
20,2020-03-19 19:00:00,7.69e-05,7.69e-05,7.69e-05,7.69e-05,0.0
21,2020-04-04 13:00:00,8.13e-05,8.13e-05,8.13e-05,8.13e-05,0.0
22,2020-04-12 21:00:00,8.6e-05,8.6e-05,8.6e-05,8.6e-05,0.0
23,2020-04-16 14:00:00,8.58e-05,8.58e-05,8.58e-05,8.58e-05,12500.0
24,2020-04-22 05:00:00,8.56e-05,8.56e-05,8.56e-05,8.56e-05,0.0
25,2020-05-10 07:00:00,7.4e-05,7.4e-05,7.4e-05,7.4e-05,0.0
26,2020-05-24 00:00:00,7.55e-05,7.63e-05,7.39e-05,7.63e-05,959142.0
27,2020-05-31 08:00:00,8.7e-05,9.08e-05,8.7e-05,9.08e-05,6983152.0
28,2020-06-22 11:00:00,7.48e-05,7.48e-05,7.48e-05,7.48e-05,1186005.0
29,2020-08-07 15:00:00,8.5e-05,8.5e-05,8.48e-05,8.48e-05,2138230.0
30,2020-08-08 17:00:00,0.0001263,0.0001263,0.0001228,0.0001262,12441309.0
31,2020-08-12 19:00:00,0.0001167,0.0001212,0.0001167,0.0001211,1631460.0
32,2020-08-17 20:00:00,0.0001336,0.0001413,0.0001336,0.0001413,9067523.0
33,2020-08-28 04:00:00,0.0001006,0.0001044,0.0001006,0.0001044,46132.0
34,2020-08-30 10:00:00,0.0001126,0.0001126,0.0001126,0.0001126,0.0
35,2020-09-18 11:00:00,9.84e-05,9.84e-05,9.84e-05,9.84e-05,0.0
36,2020-10-05 11:00:00,8.1e-05,8.12e-05,8.1e-05,8.12e-05,31250.0
37,2020-10-05 17:00:00,8.23e-05,8.39e-05,8.23e-05,8.39e-05,91302.0
38,2020-10-24 06:00:00,8.09e-05,8.09e-05,8.09e-05,8.09e-05,0.0
39,2020-10-28 18:00:00,8.16e-05,8.17e-05,8.16e-05,8.17e-05,79681.0
40,2020-10-30 20:00:00,7.87e-05,7.87e-05,7.87e-05,7.87e-05,0.0
41,2020-11-02 22:00:00,8.98e-05,9.13e-05,8.98e-05,9.13e-05,50000.0
42,2020-11-09 18:00:00,9.02e-05,9.02e-05,9.02e-05,9.02e-05,13008.0
43,2020-11-15 04:00:00,8.95e-05,8.95e-05,8.95e-05,8.95e-05,0.0
44,2020-12-09 13:00:00,7.88e-05,7.88e-05,7.88e-05,7.88e-05,0.0
45,2020-12-20 16:00:00,8.1e-05,8.1e-05,7.99e-05,7.99e-05,2330366.0
46,2020-12-28 16:00:00,6.25e-05,6.37e-05,6.25e-05,6.37e-05,5400188.0
47,2021-01-02 22:00:00,6.03e-05,6.03e-05,6.03e-05,6.03e-05,0.0
48,2021-01-05 00:00:00,6.95e-05,6.96e-05,6.9e-05,6.9e-05,4111934.0
49,2021-01-06 05:00:00,6.66e-05,6.79e-05,6.66e-05,6.79e-05,232237.0
50,2021-01-17 08:00:00,8.85e-05,8.85e-05,8.72e-05,8.8e-05,886101.0
51,2021-02-05 19:00:00,0.0001317,0.0001317,0.0001305,0.0001311,1622864.0
52,2021-02-13 09:00:00,0.0002799,0.0003105,0.0002748,0.0002839,285441233.0
53,2021-02-16 05:00:00,0.0002361,0.000238,0.000234,0.0002344,19051905.0
54,2021-02-24 12:00:00,0.0002134,0.0002177,0.0002106,0.0002154,17248388.0
55,2021-03-04 08:00:00,0.0002137,0.0002195,0.0002137,0.0002191,27608277.0
56,2021-03-05 06:00:00,0.0002099,0.0002137,0.0002099,0.0002117,16380609.0
57,2021-03-09 23:00:00,0.0002346,0.0002357,0.0002346,0.0002357,16530870.0
58,2021-03-10 04:00:00,0.0002281,0.0002323,0.0002281,0.0002295,16448291.0
59,2021-03-20 00:00:00,0.000347,0.000398,0.0003405,0.0003954,155407195.0
60,2021-03-23 00:00:00,0.0004025,0.0004025,0.00038,0.0004,251890682.0
61,2021-03-31 01:00:00,0.0003993,0.0003993,0.000395,0.0003956,128193629.0
62,2021-04-02 00:00:00,0.0006197,0.0006343,0.0006103,0.0006343,76402389.0
63,2021-04-03 08:00:00,0.0006989,0.00075,0.00068,0.00071,1758702608.0
64,2021-04-03 10:00:00,0.0007642,0.0008939,0.0007511,0.000815,3002658711.0
65,2021-04-06 00:00:00,0.0027701,0.0027702,0.0023,0.0024923,408620606.0
