,Date,Open,High,Low,Close,Volume
0,2019-09,0.0003123,0.0003142,0.0001408,0.0001622,130485714.0
1,2019-10,0.000149,0.0002261,0.000125,0.0001762,144434208.0
2,2019-11,0.00022,0.00022,0.0001,0.0001074,109835946.0
3,2019-12,0.0001017,0.0001076,9.19e-05,9.46e-05,153621265.0
4,2020-01,9.31e-05,0.0001175,8.73e-05,0.0001118,54759342.0
5,2020-02,0.000113,0.0001436,8.59e-05,9.66e-05,126361694.0
6,2020-03,9.23e-05,0.000106,4.82e-05,8.37e-05,127295804.0
7,2020-04,7.86e-05,9.13e-05,7.86e-05,9.11e-05,194584640.0
8,2020-05,8.83e-05,9.26e-05,7e-05,8.56e-05,465193629.0
9,2020-06,8.76e-05,9.22e-05,6.95e-05,7.26e-05,603836058.0
10,2020-07,7.11e-05,8.52e-05,7.07e-05,7.9e-05,685856823.0
11,2020-08,7.88e-05,0.0001446,7.68e-05,0.0001247,3348799547.0
12,2020-09,0.0001346,0.0001584,7.8e-05,8.3e-05,815700993.0
13,2020-10,8.79e-05,8.8e-05,7.54e-05,8.11e-05,384112300.0
14,2020-11,8.38e-05,0.00011,7.67e-05,8e-05,536731701.2089
15,2020-12,7.91e-05,9e-05,5.61e-05,5.98e-05,1744362717.0
16,2021-01,6.07e-05,0.0001399,5.8e-05,0.0001069,3126644086.0
17,2021-02,0.0001069,0.0003105,0.0001037,0.0001948,14783163019.0
18,2021-03,0.000204,0.0010038,0.000196,0.0004407,63569485337.0
19,2021-04,0.0005681,0.00385,0.00055,0.0013564,161292693023.0
20,2021-05,0.0013382,0.0014304,0.00036,0.00052,38951932003.0
21,2021-06,0.0005164,0.0005784,0.0002801,0.0004094,17940396557.0
22,2021-07,0.0004096,0.0004217,0.0002651,0.0003564,10247253824.0
23,2021-08,0.0003721,0.00083,0.0003399,0.0006291,20391188314.0
24,2021-09,0.0006446,0.0007126,0.0003781,0.0004049,14444544965.0
25,2021-10,0.0004412,0.0009815,0.0004013,0.0007764,21967907093.0
