,Date,Open,High,Low,Close,Volume
0,2020-11-12 15:00:00,0.3195,0.3195,0.3195,0.3195,0.0
1,2020-11-22 21:00:00,0.3403,0.3403,0.3403,0.3403,0.0
2,2020-11-23 19:00:00,0.368,0.368,0.368,0.368,0.0
3,2020-12-06 13:00:00,0.3597,0.3597,0.3597,0.3597,0.0
4,2020-12-07 03:00:00,0.3597,0.3597,0.3597,0.3597,0.0
5,2020-12-07 12:00:00,0.3636,0.3636,0.3636,0.3636,0.0
6,2020-12-10 06:00:00,0.332,0.332,0.332,0.332,0.0
7,2020-12-21 02:00:00,0.3474,0.3474,0.3474,0.3474,0.0
8,2020-12-21 14:00:00,0.3183,0.3183,0.3183,0.3183,0.0
9,2020-12-25 19:00:00,0.2991,0.2991,0.2914,0.2914,12.0
10,2021-01-05 16:00:00,0.2845,0.2914,0.2845,0.2914,1300.0
11,2021-01-08 14:00:00,0.3332,0.3332,0.3332,0.3332,0.0
12,2021-01-12 11:00:00,0.3153,0.3198,0.3153,0.3176,45.31
13,2021-01-13 18:00:00,0.3163,0.322,0.3163,0.322,46.83
14,2021-01-15 04:00:00,0.3261,0.3261,0.3261,0.3261,0.0
15,2021-01-25 12:00:00,0.3831,0.3882,0.3831,0.3882,67.29
16,2021-01-31 18:00:00,0.3456,0.3456,0.3456,0.3456,0.0
17,2021-02-02 06:00:00,0.3587,0.3587,0.3587,0.3587,0.0
18,2021-02-05 11:00:00,0.4837,0.4889,0.4777,0.4889,2222.52
19,2021-02-13 23:00:00,1.599,1.6,1.5516,1.5516,1356.99
20,2021-02-14 02:00:00,1.4848,1.6098,1.4848,1.6082,600.36
21,2021-02-16 09:00:00,1.15,1.1575,1.1443,1.1575,228.95
22,2021-02-20 07:00:00,1.1269,1.1269,1.097,1.097,1972.18
23,2021-03-05 09:00:00,0.9053,0.9053,0.9053,0.9053,0.0
24,2021-03-11 20:00:00,1.266,1.2693,1.2657,1.2693,471.14
25,2021-03-19 02:00:00,1.6269,1.6891,1.6269,1.6891,224.66
26,2021-03-23 18:00:00,1.5623,1.5634,1.5168,1.5576,2138.13
