,Date,Open,High,Low,Close,Volume
0,2019-07-17 19:00:00,0.0606,0.0606,0.0606,0.0606,0.0
1,2019-07-28 09:00:00,0.0662,0.0662,0.0662,0.0662,0.0
2,2019-08-14 20:00:00,0.0533,0.0533,0.0533,0.0533,0.0
3,2019-08-24 12:00:00,0.0555,0.0555,0.0555,0.0555,924.0
4,2019-09-14 01:00:00,0.0425,0.0425,0.0425,0.0425,0.0
5,2019-09-22 05:00:00,0.0444,0.0444,0.0444,0.0444,0.0
6,2019-09-27 05:00:00,0.0412,0.0412,0.0412,0.0412,0.0
7,2019-10-09 06:00:00,0.0383,0.0425,0.0383,0.0425,400.0
8,2019-10-09 13:00:00,0.0425,0.0425,0.0425,0.0425,0.0
9,2019-10-13 16:00:00,0.0392,0.0392,0.0392,0.0392,0.0
10,2019-10-17 15:00:00,0.0421,0.0421,0.0399,0.0399,110.0
11,2019-10-26 05:00:00,0.0407,0.0407,0.0407,0.0407,0.0
12,2019-10-27 11:00:00,0.0415,0.0415,0.041,0.041,500.0
13,2019-10-28 04:00:00,0.0434,0.0434,0.0434,0.0434,0.0
14,2019-10-31 12:00:00,0.0395,0.0395,0.0395,0.0395,0.0
15,2019-12-15 08:00:00,0.035,0.035,0.035,0.035,0.0
16,2019-12-17 07:00:00,0.0354,0.0354,0.0354,0.0354,0.0
17,2019-12-18 03:00:00,0.0323,0.0323,0.0323,0.0323,0.0
18,2019-12-20 09:00:00,0.0321,0.0321,0.0321,0.0321,0.0
19,2019-12-20 13:00:00,0.0321,0.0321,0.0321,0.0321,0.0
20,2019-12-22 09:00:00,0.0321,0.0321,0.0321,0.0321,0.0
21,2020-01-03 19:00:00,0.0315,0.0315,0.0315,0.0315,0.0
22,2020-01-04 14:00:00,0.0315,0.0315,0.0315,0.0315,0.0
23,2020-01-07 05:00:00,0.0315,0.0336,0.0315,0.0336,500.0
24,2020-01-19 10:00:00,0.039,0.039,0.039,0.039,0.0
25,2020-01-26 17:00:00,0.0388,0.0407,0.0388,0.0407,46.0
26,2020-02-05 17:00:00,0.0537,0.0543,0.0535,0.0543,700.0
27,2020-02-11 00:00:00,0.065,0.065,0.065,0.065,0.0
28,2020-02-15 02:00:00,0.0722,0.0725,0.0722,0.0725,1146.0
29,2020-02-17 04:00:00,0.064,0.064,0.0626,0.0626,600.0
30,2020-02-21 23:00:00,0.061,0.061,0.061,0.061,0.0
31,2020-02-25 05:00:00,0.0538,0.0538,0.0538,0.0538,0.0
32,2020-03-06 21:00:00,0.0546,0.0546,0.0546,0.0546,0.0
33,2020-03-11 09:00:00,0.045,0.045,0.045,0.045,0.0
34,2020-03-15 22:00:00,0.0451,0.0451,0.0451,0.0451,0.0
35,2020-04-01 16:00:00,0.036,0.036,0.036,0.036,0.0
36,2020-04-16 05:00:00,0.0359,0.0359,0.0359,0.0359,158.0
37,2020-04-28 16:00:00,0.0402,0.0402,0.0402,0.0402,0.0
38,2020-05-07 01:00:00,0.0409,0.0409,0.0409,0.0409,0.0
39,2020-05-07 03:00:00,0.0405,0.0405,0.0405,0.0405,0.0
40,2020-05-07 08:00:00,0.0408,0.0412,0.0408,0.0409,2492.0
41,2020-06-15 22:00:00,0.0432,0.0432,0.0432,0.0432,0.0
42,2020-06-24 15:00:00,0.0441,0.0441,0.0441,0.0441,148.0
43,2020-06-24 21:00:00,0.0441,0.0441,0.0441,0.0441,0.0
44,2020-07-04 04:00:00,0.0429,0.0429,0.0421,0.0421,209.0
45,2020-07-22 03:00:00,0.0493,0.0493,0.0493,0.0493,0.0
46,2020-07-30 18:00:00,0.0504,0.0504,0.0504,0.0504,0.0
47,2020-08-05 20:00:00,0.0559,0.0559,0.0559,0.0559,0.0
48,2020-08-06 02:00:00,0.0559,0.0559,0.0559,0.0559,0.0
49,2020-09-04 07:00:00,0.14,0.14,0.1332,0.1366,3848.0
50,2020-09-12 13:00:00,0.1309,0.1309,0.1299,0.1299,46.0
51,2020-09-18 18:00:00,0.1046,0.1046,0.1046,0.1046,0.0
52,2020-09-21 00:00:00,0.108,0.108,0.108,0.108,0.0
53,2020-09-23 20:00:00,0.1064,0.1064,0.104,0.104,565.0
54,2020-09-27 15:00:00,0.1193,0.1193,0.1192,0.1192,83.0
55,2020-10-08 18:00:00,0.1143,0.1143,0.1143,0.1143,0.0
56,2020-10-13 06:00:00,0.1226,0.1226,0.1226,0.1226,0.0
57,2020-10-28 09:00:00,0.0944,0.0944,0.0944,0.0944,0.0
58,2020-11-03 03:00:00,0.0967,0.0967,0.0966,0.0966,70.0
59,2020-11-05 15:00:00,0.0968,0.1008,0.0968,0.1008,200.0
60,2020-11-19 23:00:00,0.1178,0.1178,0.1178,0.1178,0.0
61,2020-11-20 12:00:00,0.1189,0.1205,0.116,0.116,10472.0
62,2020-12-15 11:00:00,0.239,0.2451,0.239,0.2451,410.0
63,2021-01-15 13:00:00,0.2171,0.2176,0.2156,0.2158,30092.0
64,2021-01-20 18:00:00,0.2289,0.2317,0.2289,0.2297,147.0
65,2021-01-25 12:00:00,0.2196,0.2217,0.2196,0.2201,1199.0
66,2021-01-25 17:00:00,0.2228,0.2235,0.2227,0.2234,4574.0
67,2021-02-12 09:00:00,0.3698,0.3732,0.3675,0.3732,354.0
