,Date,Open,High,Low,Close,Volume
0,2019-07,85.43,107.21,72.0,78.3,768.3479999999998
1,2019-08,81.0,96.94,66.5,67.98,260.543
2,2019-09,67.28,78.77,54.1,56.12,235.897
3,2019-10,56.11,63.35,51.5,57.92,530.3399999999999
4,2019-11,60.9,65.59,46.62,55.21,220.982
5,2019-12,53.07,55.21,44.76,46.56,102.281
6,2020-01,45.58,75.0,44.28,75.0,570.7280000000001
7,2020-02,73.0,96.8,66.78,68.0,356.37100000000004
8,2020-03,67.43,69.8,29.92,47.23,1566.2670000000003
9,2020-04,46.9,69.45,46.9,64.0,1211.061
10,2020-05,64.28,68.62,56.21,67.0,969.757
11,2020-06,65.75,70.0,60.74,64.03,262.016
12,2020-07,64.03,83.11,62.42,83.11,427.09100000000007
13,2020-08,85.91,105.0,82.75,94.34,411.10799999999995
14,2020-09,96.79,106.69,75.4,98.68,190.609
15,2020-10,111.62,139.85,95.0,122.16,552.82
16,2020-11,126.31,141.89,110.0,123.11,779.8474
17,2020-12,131.24,170.97,121.0,156.16,717.5239999999999
18,2021-01,144.05,196.0,123.96,137.55,3065.592
19,2021-02,143.52,290.0,134.8,211.42,2427.2000000000003
20,2021-03,222.99,262.07,199.0,257.59,1589.4980000000003
21,2021-04,247.09,435.0,233.0,414.28,1300.456
22,2021-05,423.61,524.0,177.1,255.67,1512.849
23,2021-06,265.5,315.21,175.0,217.62,1104.924
24,2021-07,211.09,248.73,180.0,246.64,552.182
25,2021-08,242.61,335.69,223.17,284.89,583.686
26,2021-09,298.6,333.0,210.0,229.9,600.5609999999999
27,2021-10,258.4,295.4,241.0,275.0,384.124
