,Date,Open,High,Low,Close,Volume
0,2018-07-11,0.45,0.451,0.436,0.442,5976.0
1,2018-07-12,0.446,0.45,0.409,0.448,2611.0
2,2018-07-13,0.43,0.48,0.406,0.455,6683.0
3,2018-07-14,0.444,0.46,0.43,0.46,4978.0
4,2018-07-15,0.453,0.47,0.44,0.454,7044.0
5,2018-07-16,0.466,0.482,0.443,0.459,8350.0
6,2018-07-17,0.478,0.519,0.465,0.469,30187.0
7,2018-07-18,0.517,0.55,0.486,0.486,17484.0
8,2018-07-19,0.486,0.505,0.476,0.5,10447.0
9,2018-07-20,0.482,0.498,0.43,0.447,9160.0
10,2018-07-21,0.46,0.465,0.44,0.46,12803.0
11,2018-07-22,0.468,0.47,0.446,0.47,8225.0
12,2018-07-23,0.446,0.47,0.445,0.455,21470.0
13,2018-07-24,0.459,0.467,0.446,0.459,9522.0
14,2018-07-25,0.468,0.469,0.45,0.463,13013.0
15,2018-07-26,0.466,0.475,0.453,0.453,22001.0
16,2018-07-27,0.455,0.464,0.439,0.448,12559.0
17,2018-07-28,0.455,0.463,0.45,0.457,16669.0
18,2018-07-29,0.454,0.46,0.451,0.453,8853.0
19,2018-07-30,0.457,0.458,0.445,0.456,16798.0
20,2018-07-31,0.453,0.455,0.425,0.435,13110.0
21,2018-08-01,0.435,0.464,0.426,0.448,14227.0
22,2018-08-02,0.436,0.454,0.426,0.448,17953.0
23,2018-08-03,0.437,0.45,0.427,0.436,17249.0
24,2018-08-04,0.446,0.449,0.43,0.437,26443.0
25,2018-08-05,0.431,0.439,0.422,0.431,11322.0
26,2018-08-06,0.42,0.44,0.41,0.42,24455.0
27,2018-08-07,0.412,0.416,0.379,0.414,38705.0
28,2018-08-08,0.359,0.39,0.324,0.35,30124.0
29,2018-08-09,0.333,0.357,0.328,0.343,32243.0
30,2018-08-10,0.343,0.349,0.318,0.332,35407.0
31,2018-08-11,0.291,0.336,0.29,0.31,55510.0
32,2018-08-12,0.293,0.336,0.293,0.304,19705.0
33,2018-08-13,0.309,0.321,0.275,0.275,26053.0
34,2018-08-14,0.265,0.305,0.253,0.26,59151.0
35,2018-08-15,0.298,0.299,0.269,0.298,25108.0
36,2018-08-16,0.282,0.305,0.278,0.287,33110.0
37,2018-08-17,0.292,0.38,0.292,0.314,31613.0
38,2018-08-18,0.343,0.362,0.313,0.354,40469.0
39,2018-08-19,0.331,0.351,0.318,0.327,24083.0
40,2018-08-20,0.349,0.351,0.318,0.337,38436.0
41,2018-08-21,0.32,0.337,0.316,0.325,30736.0
42,2018-08-22,0.331,0.352,0.314,0.339,61406.0
43,2018-08-23,0.324,0.327,0.315,0.318,26781.0
44,2018-08-24,0.324,0.326,0.317,0.325,21123.0
45,2018-08-25,0.327,0.333,0.322,0.325,25758.0
46,2018-08-26,0.321,0.329,0.32,0.325,23629.0
47,2018-08-27,0.32,0.337,0.32,0.329,23683.0
48,2018-08-28,0.344,0.357,0.333,0.353,51212.0
49,2018-08-29,0.342,0.353,0.339,0.345,27130.0
50,2018-08-30,0.343,0.345,0.322,0.33,50193.0
51,2018-08-31,0.331,0.339,0.328,0.331,23594.0
52,2018-09-01,0.342,0.35,0.334,0.337,30601.0
53,2018-09-02,0.339,0.35,0.337,0.342,32404.0
54,2018-09-03,0.338,0.342,0.332,0.336,38619.0
55,2018-09-04,0.331,0.341,0.331,0.334,34812.0
56,2018-09-05,0.332,0.334,0.276,0.333,75947.0
57,2018-09-06,0.29,0.304,0.271,0.271,66427.0
58,2018-09-07,0.29,0.304,0.283,0.302,48182.0
59,2018-09-08,0.275,0.295,0.274,0.275,29013.0
60,2018-09-09,0.274,0.29,0.27,0.273,42009.0
61,2018-09-10,0.276,0.281,0.262,0.28,56912.0
62,2018-09-11,0.266,0.273,0.255,0.271,53289.0
63,2018-09-12,0.27,0.273,0.253,0.258,50609.0
64,2018-09-13,0.277,0.287,0.268,0.27,37811.0
65,2018-09-14,0.28,0.284,0.27,0.276,42562.0
66,2018-09-15,0.281,0.285,0.275,0.285,34877.0
67,2018-09-16,0.278,0.283,0.274,0.278,31610.0
