,Date,Open,High,Low,Close,Volume
0,2018-07,0.445,0.55,0.406,0.435,258203.0
1,2018-08,0.435,0.464,0.253,0.331,966611.0
2,2018-09,0.342,0.799,0.253,0.592,2527501.0
3,2018-10,0.579,0.605,0.377,0.448,2090639.0
4,2018-11,0.455,0.567,0.33,0.363,2228583.0
5,2018-12,0.372,0.449,0.28,0.358,3059867.0
6,2019-01,0.352,0.377,0.28,0.33,2500825.0
7,2019-02,0.309,0.345,0.289,0.305,2238230.0
8,2019-03,0.323,0.324,0.296,0.30901,1960492.0
9,2019-04,0.31284,0.37957,0.28,0.3069,3763072.0
10,2019-05,0.30787,0.478,0.292,0.40788,6457642.0
11,2019-06,0.42151,0.506,0.3731,0.42597,5292123.0
12,2019-07,0.40728,0.46,0.28601,0.31705,4715519.0
13,2019-08,0.31498,0.3299,0.246,0.25636,3880853.0
14,2019-09,0.25753,0.32499,0.22215,0.25745,5326384.0
15,2019-10,0.25022,0.31117,0.2423,0.29455,4758754.0
16,2019-11,0.28925,0.31271,0.20379,0.22498,4806782.0
17,2019-12,0.2209,0.231,0.17579,0.19084,5895541.0
18,2020-01,0.19365,0.25338,0.18459,0.24098,8288285.0
19,2020-02,0.23976,0.345,0.225,0.2365,10576373.0
20,2020-03,0.23151,0.24593,0.10484,0.17291,15854974.0
21,2020-04,0.1723,0.23596,0.16874,0.2143,10103471.0
22,2020-05,0.21318,0.22589,0.18383,0.20738,8033239.0
23,2020-06,0.2032,0.215,0.1694,0.17647,5703603.0
24,2020-07,0.17486,0.25696,0.172,0.24372,9426959.0
25,2020-08,0.2554,0.32629,0.255,0.2778,11820033.0
26,2020-09,0.29499,0.30303,0.22057,0.24252,7540975.0
27,2020-10,0.24373,0.263,0.22933,0.238,4936745.0
28,2020-11,0.24038,0.7775,0.229,0.62827,16648653.4107
29,2020-12,0.66851,0.67893,0.174,0.22281,40576438.0
30,2021-01,0.23418,0.51727,0.2105,0.44267,57289951.0
31,2021-02,0.69894,0.74877,0.34327,0.41788,52977428.0
32,2021-03,0.4225,0.59998,0.4157,0.55288,21754870.0
33,2021-04,0.577,1.96841,0.55333,1.61,44876297.5
34,2021-05,1.6022,1.75155,0.62,0.9,23408851.5
35,2021-06,1.05,1.11269,0.501,0.7019,8962125.7
36,2021-07,0.6568,0.7669,0.51746,0.747,5882934.2
37,2021-08,0.75341,1.34698,0.6979,1.1246,10391772.3
38,2021-09,1.19,1.4129,0.8625,0.93081,8555929.1
39,2021-10,1.0298,1.2266,0.9433,1.10121,5951698.0
