,Date,Open,High,Low,Close,Volume
0,2019-02,0.4001,0.67,0.0395,0.5348,4799.389999999999
1,2019-03,0.5348,1.47,0.375,0.9914,4691.0599999999995
2,2019-04,1.309,1.4,0.5001,1.225,23173.329999999998
3,2019-05,1.12,1.812,1.0,1.7495,7380.53
4,2019-06,1.755,1.7948,0.93,1.01,33646.19
5,2019-07,1.1078,1.269,0.8002,1.23,23737.399999999998
6,2019-08,1.25,1.5333,1.001,1.09,6555.58
7,2019-09,1.09,1.35,0.8126,0.89,10561.64
8,2019-10,0.9748,0.9748,0.7601,0.917,26493.08
9,2019-11,0.8818,1.42,0.8517,1.315,83059.87000000001
10,2019-12,1.3262,1.8,1.204,1.3247,38342.95
11,2020-01,1.3448,1.6793,1.2382,1.6793,24418.800000000003
12,2020-02,1.66,4.8896,1.66,2.8402,48167.53
13,2020-03,2.7919,3.4499,1.0,1.6263,103944.06999999998
14,2020-04,1.5808,3.0526,1.5422,2.9995,145799.13
15,2020-05,2.8996,2.9564,2.2727,2.8676,76504.31
16,2020-06,2.913,3.14,2.22,2.3722,67302.68
17,2020-07,2.4132,3.3118,2.247,2.8139,99352.94
18,2020-08,2.9299,4.4201,2.6944,3.4211,130784.94
19,2020-09,3.4038,3.4588,1.9283,2.15,63527.03
20,2020-10,2.247,2.4432,1.8064,1.96,28580.059999999998
21,2020-11,1.9701,2.9379,1.7954,2.4745,49997.203
22,2020-12,2.4745,2.5129,1.7,2.0018,58120.49000000001
23,2021-01,2.0006,3.37,1.9589,2.8118,214982.26
24,2021-02,2.8353,5.5943,2.7707,3.49,263812.62
25,2021-03,3.5562,4.8582,3.41,4.5023,181879.16999999998
26,2021-04,5.1549,7.6854,4.2089,5.3623,188404.94
27,2021-05,5.7302,8.4,2.4,3.438,165809.6
28,2021-06,3.5592,4.1289,2.0432,2.8497,78559.18999999999
29,2021-07,2.8641,3.1053,2.1,2.9969,34058.22
30,2021-08,3.0024,6.2,2.9306,5.103,221834.0
31,2021-09,5.3,8.0,3.949,5.927,262065.98000000004
32,2021-10,6.637,9.1444,5.84,6.194,200241.92999999996
