,Date,Open,High,Low,Close,Volume
0,2019-07-06,105.1,105.1,100.31,105.1,8.109000000000002
1,2019-07-07,103.13,105.1,102.8,103.51,1.447
2,2019-07-08,103.51,104.67,103.51,103.51,4.979
3,2019-07-09,100.0,104.67,99.95,104.67,1.1350000000000002
4,2019-07-10,99.95,104.34,95.0,96.0,6.9350000000000005
5,2019-07-11,87.87,95.0,87.87,89.84,2.016
6,2019-07-12,90.96,90.96,87.87,87.87,3.976
7,2019-07-13,93.18,93.18,87.37,88.43,2.54
8,2019-07-14,84.13,88.43,84.13,88.43,0.769
9,2019-07-15,78.26,84.13,77.35,77.39,7.610999999999999
10,2019-07-16,75.04,79.81,69.0,79.81,1.042
11,2019-07-17,67.36,74.19,66.43,67.36,9.911999999999999
12,2019-07-18,78.87,79.35,74.19,78.87,9.847000000000001
13,2019-07-19,79.35,79.35,73.65,73.85,0.142
14,2019-07-20,73.85,78.86954,73.85,77.24,2.152
15,2019-07-21,74.35,78.51,73.7,74.35,2.569
16,2019-07-22,75.12,75.43,71.76,71.76,4.242
17,2019-07-23,70.0,72.97,70.0,70.84,1.646
18,2019-07-24,70.0,70.0,68.11,68.11,1.418
19,2019-07-25,69.52,71.52,69.52,71.10161,1.9100000000000001
20,2019-07-26,71.15,71.15,71.01,71.15,0.139
21,2019-07-27,71.01,72.11,69.11,69.11,2.174
22,2019-07-28,69.13,69.37,68.66,69.37,0.761
23,2019-07-29,67.84,68.66,67.84,67.84,0.047
24,2019-07-30,66.0,67.84,66.0,67.84,3.641
25,2019-07-31,66.9501,68.48,66.29,66.29,1.979
26,2019-08-01,67.32,68.0,67.3,68.0,0.499
27,2019-08-02,67.16,68.0,67.16,67.31,1.642
28,2019-08-03,66.84,67.31,65.07,65.07,3.86
29,2019-08-04,66.1,66.1,63.5,63.5,1.855
30,2019-08-05,67.18,67.5,66.1,67.18,6.254
31,2019-08-06,64.73,67.18,64.73,66.44,6.812
32,2019-08-07,62.97,64.73,61.9,62.97,56.541
33,2019-08-08,61.23,67.03,60.99425,60.99425,3.3590000000000004
34,2019-08-09,59.0,61.5,58.0,59.0,0.622
35,2019-08-10,58.0,58.77,56.67,56.67,7.212
36,2019-08-11,56.67,58.14,56.67,58.14,1.851
37,2019-08-12,58.14,58.14,57.14,57.67,42.838
38,2019-08-13,57.14,57.14,55.95,57.14,0.8
39,2019-08-14,55.95,55.95,51.0,51.0,0.11
40,2019-08-15,50.0,51.0,50.0,50.0,0.1
41,2019-08-16,50.14,50.7,50.0,50.14,0.21600000000000003
42,2019-08-17,48.82,50.14,48.69,48.83,6.168
43,2019-08-18,52.6,53.1,48.82,50.79,7.43
44,2019-08-19,53.1,53.1,53.1,53.1,0.0
45,2019-08-20,52.79,54.04,52.08,52.79,7.231
46,2019-08-21,52.54,52.54,52.54,52.54,0.0
47,2019-08-22,52.54,52.54,52.54,52.54,0.0
48,2019-08-23,50.55,52.54,50.43,50.55,0.837
49,2019-08-24,50.55,50.55,49.14,50.55,5.242
50,2019-08-25,50.23,50.91,49.14,50.23,2.976
51,2019-08-26,51.17,52.53,50.23,52.07,12.444
52,2019-08-27,50.91,51.32,50.91,50.91,0.04
53,2019-08-28,49.0,50.91,49.0,49.81,1.2029999999999998
54,2019-08-29,49.0,49.0,44.82,44.9,0.197
55,2019-08-30,44.95,44.95,44.22,44.22,7.991
56,2019-08-31,44.4,44.68,44.4,44.4,0.456
57,2019-09-01,44.68,45.00026,44.49,44.49,4.235
58,2019-09-02,45.06,46.5,44.49,46.5,8.644
59,2019-09-03,46.33,46.5,46.33,46.33,0.948
60,2019-09-04,45.34,46.33,44.97944,44.97944,2.447
61,2019-09-05,45.0,45.1,45.0,45.0,0.7250000000000001
62,2019-09-06,45.0,45.5,44.94,45.01,7.962999999999999
63,2019-09-07,45.18,46.79,45.18,45.74,3.3529999999999998
64,2019-09-08,47.59,47.75,46.79,47.59,1.25
65,2019-09-09,48.06,48.06,47.22,48.06,2.596
66,2019-09-10,46.1,47.22,46.1,46.1,10.155000000000001
67,2019-09-11,46.1,46.1,44.18,44.75,16.072
68,2019-09-12,44.75,44.75,43.37,44.26,22.273
69,2019-09-13,44.0,44.26,44.0,44.0,0.851
70,2019-09-14,45.09,45.09,44.0,44.85,17.232
71,2019-09-15,45.99,45.99,44.85,45.99,0.405
72,2019-09-16,47.87,48.43,45.99,48.43,2.8449999999999998
73,2019-09-17,51.26,51.26,48.37,48.37,4.502
74,2019-09-18,51.26,53.08,50.91,53.0,9.885
75,2019-09-19,50.0,53.07,48.73,49.11,17.253
76,2019-09-20,50.98994,50.98994,48.6,48.6,0.5
77,2019-09-21,48.58,48.74,48.27,48.27,1.646
78,2019-09-22,46.68,48.27,46.0,46.71,7.393000000000001
